제품명,최저가,사이트주소,제조회사,등록년월,분류,운영체제,인프라,블루투스버전,안드로이드OS,iOS,모양,패널종류,화면크기,해상도,모바일AP,코어갯수,시스템램,내장메모리,WiFi,GPS,NFC,심박센서,가속도센서,만보기센서,자이로센서,기압센서,자외선센서,3D터치센서,나침반센서,조도센서,모션센서,걷기,달리기,자전거타기,일립티컬,로잉머신,등산,승마,수영,스키,골프,요가,보행수,이동거리,칼로리,활동시간,수면정보,심박측정,심전도,운동량,체온,고도,페이스,속도,날씨,체지방,혈압체크,여성 건강 모니터링,진동,메세지알림,SNS알림,전화알림,통화가능,음악콘트롤,스피커,마이크,카메라촬영,분실방지,생활방수,전자결제,알람시계,전용앱지원,배터리용량,사용시간,무게(본체),방수/방진,시계줄넓이,형태,적합성평가인증,안전확인인증
IWOWN I5 Plus 스마트밴드,25800,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=3897138&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1435964422&package=0&setpc=0,IWOWN,201603,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,OLED,"2.32cm(0.91"")",128x32,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,○,,,,,,,,,○,,○,,,,,,○,○,,,,○,75mAh,평균사용:5~7일,,IP65,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
샤오미 미 밴드4,26939,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=9301353&cmpnyc=TN729&safe_trade=4&fee_type=T&link_pcode=347963855_347963855&package=0&setpc=0,샤오미,201908,스마트밴드,기타OS,블루투스,v5.0,v4.4 이상,v9.0 이상,사각형,AMOLED,"2.41cm(0.95"")",240x120,,,램 : 512KB,저장 : 16MB,,,,○,○,,○,,,,,,,○,○,○,,,,,○,,,,○,○,○,○,○,○,,○,,,○,○,○,,,,,,,,,○,,,,,,,○,○,135mAh,평균사용:20일,22.1g,5ATM,표준 18mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
삼성전자 갤럭시 핏e,35630,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=7300351&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2759211562&package=0&setpc=0,삼성전자,201905,스마트밴드,리얼타임OS,블루투스,v5.0,v5.0 이상,v9.0 이상,사각형,PMOLED,"1.88cm(0.74"")",128x64,,,램 : 128KB,,,,,○,○,,,,,,,,,○,○,,,,,,,,,,○,,○,○,○,○,,,,,,,,,,,○,,,,,,,,,,○,,,○,70mAh,평균사용:6일~7일,15g,5ATM,,밴드일체형,R-C-SEC-SMR375 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
삼성전자 갤럭시 핏,103490,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=7300264&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B737910009&package=0&setpc=0,삼성전자,201905,스마트밴드,리얼타임OS,블루투스,v5.0,v5.0 이상,v10.0 이상,사각형,AMOLED,"2.41cm(0.95"")",240x120,,,램 : 2MB,저장 : 32MB,,,○,○,○,,○,,,,,,,○,○,○,○,○,○,,○,,,,○,,○,○,○,○,,,,,,,,,,,○,,,,,,,,,,○,,,○,120mAh,평균사용:7일~8일,23g,5ATM,,밴드일체형,R-C-SEC-SMR370 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
화웨이 밴드 4,29000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=9860460&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2603866165&package=0&setpc=0,화웨이,201911,스마트밴드,기타OS,블루투스,v4.2,v4.4 이상,v9.0 이상,사각형,,"2.43cm(0.96"")",160x80,,,램 : 384KB,저장 : 1MB,,,,,,,,,,,,,,○,○,○,○,○,,,○,,,,○,○,○,○,○,○,,,,,,○,,,,,,○,,,,,,,,,○,,,,91mAh,평균사용:1일~7일,24g,5ATM,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
샤오미 미 밴드3,22420,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6231709&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1551098490&package=0&setpc=0,샤오미,201806,스마트밴드,,블루투스,v4.2,v4.4 이상,v9.0 이상,사각형,OLED,"1.98cm(0.78"")",128x80,,,,,,,,○,○,,,,,,,,,○,○,○,,,,,,,,,○,○,○,○,○,○,,○,,,,,○,,,,,,○,,,,,,,,,,,○,110mAh,,약20g,5ATM,,밴드분리형,R-CRI-Ym8-XMSH05HM 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
핏빗 Charge 4,203670,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=10972815&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=3412316446&package=0&setpc=0,핏빗,202004,스마트밴드,기타OS,블루투스,v4.0,v7.0 이상,v7.0 이상,사각형,,,,,,,,,○,○,○,○,,,,,,,,,○,○,○,,,,,○,,,,○,○,○,,○,○,,○,,,,,,,,○,,○,,○,,,,,,,○,○,,○,,평균사용:최대 7일,,5ATM,,,R-C-XRA-FB417 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Razer NABU Live,364510,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=3714857&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1431393187&package=0&setpc=0,Razer,201601,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,OLED,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,○,○,○,,,,,○,,,,,,,,,○,,○,,,,,,,,○,,,,,평균사용:5~7일,,,,밴드일체형,MSIP-CRM-RAZ-RZ15-0129 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
핏빗 Charge 4 SE,219110,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=10973037&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1805951432&package=0&setpc=0,핏빗,202004,스마트밴드,기타OS,블루투스,v4.0,v7.0 이상,v7.0 이상,사각형,,,,,,,,,○,○,○,○,,,,,,,,,○,○,○,,,,,○,,,,○,○,○,,○,○,,○,,,,,,,,○,,○,,○,,,,,,,○,○,,○,,평균사용:최대 7일,,5ATM,,,R-C-XRA-FB417 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
퓨전FNC VPULSE Fit-Coach Go+,30820,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=10375104&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B793400903&package=0&setpc=0,퓨전FNC,202001,스마트밴드,기타OS,블루투스,,v4.4 이상,v8.0 이상,,IPS,,,,,,,,○,,○,,○,,,,,,,,○,○,○,,,,,,,,,○,○,○,○,○,○,,,,,,,○,,,,○,○,○,○,,○,,,,○,○,,,○,82mAh,평균사용:4일~7일,15g,,,,R-C-FNC-FITCOACH-PLUS 인증번호 확인,ZU10701-17002 인증번호 확인
