,제품명,최저가,사이트주소,제조회사,등록년월,분류,운영체제,인프라,블루투스버전,안드로이드OS,iOS,모양,패널종류,화면크기,해상도,모바일AP,코어갯수,시스템램,내장메모리,WiFi,GPS,NFC,심박센서,가속도센서,만보기센서,자이로센서,기압센서,자외선센서,3D터치센서,나침반센서,조도센서,모션센서,걷기,달리기,자전거타기,일립티컬,로잉머신,등산,승마,수영,스키,골프,요가,보행수,이동거리,칼로리,활동시간,수면정보,심박측정,심전도,운동량,체온,고도,페이스,속도,날씨,체지방,혈압체크,여성 건강 모니터링,진동,메세지알림,SNS알림,전화알림,통화가능,음악콘트롤,스피커,마이크,카메라촬영,분실방지,생활방수,전자결제,알람시계,전용앱지원,배터리용량,사용시간,무게(본체),방수/방진,시계줄넓이,형태,적합성평가인증,안전확인인증
0,화웨이 워치 GT 2 46mm 클래식 (정품),232720,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8964230&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B781852985&package=0&setpc=0,삼성전자,201909,스마트워치,타이젠OS,블루투스,v5.0,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.0cm(1.2"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,,○,,,○,,,,○,,,,○,○,○,,,,,,,,,,,,,,,,○,○,,,○,,,○,247mAh,,26g,5ATM,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
1,삼성전자 갤럭시 워치 액티브2 40mm 알루미늄 케이스,258230,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9200895&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B781853038&package=0&setpc=0,삼성전자,201909,스마트워치,타이젠OS,블루투스,v5.0,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.6cm(1.4"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,,○,,,○,,,,○,,,,○,○,○,,,,,,,,,,,,,,,,○,○,,,○,,,○,340mAh,,30g,5ATM,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
2,삼성전자 갤럭시 워치 액티브2 44mm 알루미늄 케이스,540890,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705810&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B822231255&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
3,APPLE 워치 시리즈5 44mm 스페이스 그레이 알루미늄 케이스,335800,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9201189&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2791328982&package=0&setpc=0,삼성전자,201909,스마트워치,타이젠OS,블루투스,v5.0,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.6cm(1.4"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,,○,,,○,,,,○,,,,○,○,○,,,,,,,,,,,,,,,,○,○,,,○,,,○,340mAh,,44g,5ATM,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
4,삼성전자 갤럭시 워치 액티브2 44mm 스테인리스 스틸 케이스,166330,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=10240971&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2759980601&package=0&setpc=0,샤오미,201912,스마트워치,기타OS,블루투스,v5.0,v5.0 이상,v10.0 이상,원형,AMOLED,"3.53cm(1.39"")",454x454,,,,,,○,○,○,○,,,○,,,○,○,,○,○,,,○,○,○,○,○,,,○,○,,,○,○,,○,,,,,○,,,,,○,○,○,,○,,,,○,○,,○,,410mAh,평균사용:15~30일,48g,5ATM,표준 22mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
5,샤오미 화미 어메이즈핏 GTR 47mm,156630,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=10360533&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B795634092&package=0&setpc=0,샤오미,202001,스마트워치,,블루투스,v5.0,v5.0 이상,v10.0 이상,사각형,AMOLED,"4.2cm(1.65"")",442x348,,,,,,○,○,○,○,,,○,,,○,○,,○,○,○,○,,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220mAh,평균사용:7일~15일,24.8g,5ATM,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
6,샤오미 화미 어메이즈핏 GTS,399290,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=10596255&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B580672235&package=0&setpc=0,삼성전자,202002,스마트워치,타이젠OS,블루투스,v5.0,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.0cm(1.2"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,,○,,,○,,,,○,,,,○,○,○,,,,,,,,,,,,,,,,○,○,,,○,,,○,247mAh,,26g,5ATM,표준 20mm 시계줄,밴드분리형,R-C-SEC-SMR820 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
7,삼성전자 갤럭시 워치 액티브2 44mm 골프 에디션,532790,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705819&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B822231164&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
8,APPLE 워치 시리즈5 40mm 스페이스 그레이 알루미늄 케이스,25470,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=10319637&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B794728792&package=0&setpc=0,샤오미,202001,스마트워치,기타OS,블루투스,v4.2,v4.4 이상,v8.0 이상,사각형,TFT,"3.3cm(1.3"")",240x240,,,,,,,,○,○,,,,,,,,,○,○,○,,,○,,,,,,,,○,,○,○,,,,,,,,,,,,○,,○,,,,,,,○,,○,○,210mAh,평균사용:13일,34g,IP68,,,R-C-wsw-Haylou-LS01 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
9,샤오미 헬로우 스마트워치,270620,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9853200&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B799117074&package=0&setpc=0,화웨이,201911,스마트워치,기타OS,블루투스,v5.1,v4.4 이상,v9.0 이상,원형,OLED,"3.53cm(1.39"")",454x454,,,,저장 : 4GB,,○,○,○,○,,○,○,,,○,,,○,○,,,,,,○,,,,○,○,○,○,○,○,,,,,,,○,,,,,○,○,○,,○,,,,,○,,○,○,455mAh,평균사용:7일~15일,41g,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
