com.samsung.health.floors_climbed,1140029,5
end_time,floor,pkg_name,custom,update_time,start_time,datauuid,time_offset,create_time,deviceuuid
2020. 07. 03. 15:20:03,1.000000,com.sec.android.app.shealth,,2020. 07. 03. 15:20:30,2020. 07. 03. 15:19:34,5b69d125-ff05-55af-aff6-d34dbc4f73fa,32400000,2020. 07. 03. 15:20:30,ITeeWLY/e8,
2020. 07. 06. 08:42:50,8.000000,com.sec.android.app.shealth,,2020. 07. 06. 08:44:18,2020. 07. 06. 08:38:54,36b8b865-01b0-9798-c893-9e106363314f,32400000,2020. 07. 06. 08:44:18,ITeeWLY/e8,
2020. 07. 06. 08:44:24,1.000000,com.sec.android.app.shealth,,2020. 07. 06. 08:49:01,2020. 07. 06. 08:43:54,b6815907-974f-f5d3-261e-c30df6f66df5,32400000,2020. 07. 06. 08:44:18,ITeeWLY/e8,
2020. 07. 06. 12:23:23,2.000000,com.sec.android.app.shealth,,2020. 07. 06. 12:28:43,2020. 07. 06. 12:21:18,86aac963-9d9c-960d-a5cd-9c56d63f5f67,32400000,2020. 07. 06. 12:28:43,ITeeWLY/e8,
2020. 07. 07. 01:16:45,3.000000,com.sec.android.app.shealth,,2020. 07. 07. 01:17:00,2020. 07. 07. 01:14:18,31e63cef-13e7-74d1-dbd5-c577992580e9,32400000,2020. 07. 07. 01:17:00,ITeeWLY/e8,
2020. 07. 07. 08:58:24,10.000000,com.sec.android.app.shealth,,2020. 07. 07. 09:01:08,2020. 07. 07. 08:54:42,9d054d0f-9888-2bc1-aafb-8b8ade16d84a,32400000,2020. 07. 07. 08:55:43,ITeeWLY/e8,
2020. 07. 07. 08:59:51,1.000000,com.sec.android.app.shealth,,2020. 07. 07. 09:01:08,2020. 07. 07. 08:59:26,775f1a43-979f-7743-d802-2e637f0de728,32400000,2020. 07. 07. 09:01:08,ITeeWLY/e8,
2020. 07. 07. 13:36:56,1.000000,com.sec.android.app.shealth,,2020. 07. 07. 13:39:52,2020. 07. 07. 13:36:18,e3afe6b0-222f-e2d8-7120-9f4e29db463d,32400000,2020. 07. 07. 13:39:52,ITeeWLY/e8,
2020. 07. 07. 13:41:51,3.000000,com.sec.android.app.shealth,,2020. 07. 07. 13:43:04,2020. 07. 07. 13:39:23,bda531b9-ff2e-4a67-1913-dbfc3905af68,32400000,2020. 07. 07. 13:39:52,ITeeWLY/e8,
2020. 07. 08. 08:52:26,5.000000,com.sec.android.app.shealth,,2020. 07. 08. 08:57:22,2020. 07. 08. 08:50:08,09862a13-f7dc-ece4-2207-f930e1e265c7,32400000,2020. 07. 08. 08:52:10,ITeeWLY/e8,
2020. 07. 08. 08:54:57,3.000000,com.sec.android.app.shealth,,2020. 07. 08. 08:57:22,2020. 07. 08. 08:53:35,bb00372d-1f10-27d3-ca54-9ab0e069be19,32400000,2020. 07. 08. 08:57:22,ITeeWLY/e8,
2020. 07. 08. 08:56:24,1.000000,com.sec.android.app.shealth,,2020. 07. 08. 08:57:22,2020. 07. 08. 08:55:59,6f70207e-fc10-13fa-193c-f6d9d2fbfda7,32400000,2020. 07. 08. 08:57:22,ITeeWLY/e8,
