com.samsung.health.food_intake,1140029,4
unit,pkg_name,amount,meal_type,time_offset,start_time,comment,calorie,deviceuuid,custom,food_info_id,datauuid,create_time,name,update_time
120001,com.sec.android.app.shealth,1.000000,100001,32400000,2020. 07. 06. 08:00:00,,316.799988,sZOKHxE5f1,,ABF23AEB-B9E2-4935-9932-9C825382A0D7,32F9CC60-37D4-4359-9CAA-C13962FB62F8,2020. 07. 06. 12:41:26,쌀밥,2020. 07. 06. 12:41:26,
120001,com.sec.android.app.shealth,0.500000,100001,32400000,2020. 07. 06. 08:00:00,,233.000000,sZOKHxE5f1,,A07B90D2-93E3-49C1-A113-F70968BC0F15,3FA2C077-C792-4419-BDAC-75F22B049386,2020. 07. 06. 12:41:26,갈비탕,2020. 07. 06. 12:41:26,
120001,com.sec.android.app.shealth,0.500000,100001,32400000,2020. 07. 06. 08:00:00,,319.000000,sZOKHxE5f1,,61C1D55D-A905-44BA-A4B5-822DF28157DF,9A514EEF-2C74-46A4-8193-4F9DD30C8C77,2020. 07. 06. 12:41:26,산적,2020. 07. 06. 12:41:26,
120001,com.sec.android.app.shealth,1.000000,100002,32400000,2020. 07. 06. 12:10:00,,446.000000,sZOKHxE5f1,,987F9023-9E91-4896-B665-980D383A5782,07915B7A-95BA-4A63-86F3-F69D331B4275,2020. 07. 06. 12:41:46,김치볶음밥,2020. 07. 06. 12:41:46,
120001,com.sec.android.app.shealth,0.500000,100004,32400000,2020. 07. 06. 12:40:22,,62.000000,sZOKHxE5f1,,ACCEDC76-7B7C-4FED-AB4A-547D18878757,50CF41D9-EBF3-4B37-892B-BEDE3085089B,2020. 07. 06. 12:42:32,커피우유(서울우유),2020. 07. 06. 12:42:32,
120001,com.sec.android.app.shealth,0.500000,100005,32400000,2020. 07. 06. 00:00:00,,120.000000,sZOKHxE5f1,,D2CF9A73-B7AE-4E8B-9AE0-7BB0EE80A1F4,82C0005D-DEB9-4A20-A558-DF05F4681CCC,2020. 07. 06. 15:19:59,오레오(동서식품),2020. 07. 06. 15:19:59,
120001,com.sec.android.app.shealth,1.500000,100003,32400000,2020. 07. 06. 22:04:43,,397.000000,sZOKHxE5f1,,14C90D04-725B-47E2-91AA-442E5FBB93D8,436E8E03-3F07-4B23-80C5-EE99DFB2F0D3,2020. 07. 06. 22:05:10,곱창볶음,2020. 07. 06. 22:05:10,
120001,com.sec.android.app.shealth,1.000000,100004,32400000,2020. 07. 07. 09:30:00,,112.000000,sZOKHxE5f1,,180B870E-E8E6-4B94-AB07-1403124E7987,A5CBC716-6C65-4204-8FF4-10D5FEE4770D,2020. 07. 07. 10:06:06,스프라이트 (250ml)(코카콜라),2020. 07. 07. 10:06:06,
120001,com.sec.android.app.shealth,1.500000,100004,32400000,2020. 07. 07. 09:30:00,,67.000000,sZOKHxE5f1,,8D3240C8-7C88-4196-9065-4697D5CD56A0,4C3939A8-447B-4038-995A-1EB7A2FC05E5,2020. 07. 07. 10:06:06,야쿠르트(야쿠르트),2020. 07. 07. 10:06:06,
120001,com.sec.android.app.shealth,3.000000,100006,32400000,2020. 07. 06. 12:00:16,,192.000000,sZOKHxE5f1,,B15F6F54-ED61-4B5B-8DAD-3F4CB4F98C06,310FFA32-D959-4EBC-968C-28B8B8DA3A62,2020. 07. 07. 12:00:43,처음처럼(소주),2020. 07. 07. 12:00:43,
