com.samsung.health.sleep,1140029,6
end_time,custom,pkg_name,update_time,start_time,datauuid,time_offset,create_time,comment,deviceuuid
2020. 07. 06. 07:40:00,,com.sec.android.app.shealth,2020. 07. 06. 16:57:32,2020. 07. 06. 02:30:00,69d84a85-7fa4-4bef-acb8-1b9e878c3e6b,32400000,2020. 07. 06. 16:57:32,,sZOKHxE5f1,
2020. 07. 07. 08:00:00,,com.sec.android.app.shealth,2020. 07. 07. 10:27:33,2020. 07. 07. 02:30:00,b178524b-482e-43aa-a24a-c71e07cc1342,32400000,2020. 07. 07. 10:06:32,,sZOKHxE5f1,
2020. 07. 08. 07:00:00,,com.sec.android.app.shealth,2020. 07. 08. 10:24:33,2020. 07. 08. 01:00:00,0e2a4d6f-4afc-4955-aa74-4e77f0400183,32400000,2020. 07. 08. 10:24:09,,sZOKHxE5f1,
2020. 07. 09. 02:00:00,,com.sec.android.app.shealth,2020. 07. 09. 16:28:28,2020. 07. 08. 22:00:00,c19f0f8e-8997-48c1-a012-945a1c333695,32400000,2020. 07. 09. 16:28:28,,sZOKHxE5f1,
2020. 07. 09. 07:00:00,,com.sec.android.app.shealth,2020. 07. 09. 16:28:42,2020. 07. 09. 02:30:00,d02de588-7939-4cfd-b65a-e263aa3605ce,32400000,2020. 07. 09. 16:28:42,,sZOKHxE5f1,
2020. 07. 10. 07:00:00,,com.sec.android.app.shealth,2020. 07. 10. 14:14:23,2020. 07. 10. 00:20:00,74c12f16-2e93-4b6e-b6ed-60ae7e2b9b8b,32400000,2020. 07. 10. 14:14:23,,sZOKHxE5f1,
2020. 07. 13. 07:00:00,,com.sec.android.app.shealth,2020. 07. 13. 14:14:48,2020. 07. 13. 03:20:00,0e686674-08da-47bd-bf57-454de6ca02fc,32400000,2020. 07. 13. 14:14:48,,sZOKHxE5f1,
2020. 07. 12. 10:50:00,,com.sec.android.app.shealth,2020. 07. 13. 14:14:59,2020. 07. 12. 01:50:00,ac0dd1b0-cd22-4a14-ad2b-f52a62bfc2e7,32400000,2020. 07. 13. 14:14:59,,sZOKHxE5f1,
2020. 07. 11. 06:10:00,,com.sec.android.app.shealth,2020. 07. 13. 14:15:11,2020. 07. 11. 01:50:00,f7e94d0f-c77d-4c54-a6b3-1e5f82c6e4c3,32400000,2020. 07. 13. 14:15:11,,sZOKHxE5f1,

