com.samsung.health.step_count,1140029,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
0.182021,com.sec.android.app.shealth,8,,32400000,2020. 07. 06. 08:27:00,0.820842,sZOKHxE5f1,,2020. 07. 06. 08:28:00,15939916-0000-0000-F100-939916200000,6.042233,2020. 07. 06. 08:28:29,2020. 07. 06. 08:28:29,
1.075390,com.sec.android.app.shealth,15,230002,32400000,2020. 07. 03. 15:06:00,0.450000,ITeeWLY/e8,,2020. 07. 03. 15:06:59,01137ca7-643e-f7e5-6dd1-1f0c3a2ab749,10.830000,2020. 07. 03. 15:06:10,2020. 07. 03. 15:08:05,
1.416667,com.sec.android.app.shealth,93,230002,32400000,2020. 07. 03. 15:19:00,4.580000,ITeeWLY/e8,,2020. 07. 03. 15:19:59,24b579e1-a7b3-1d64-3d5c-e68e7a81a6e3,64.770000,2020. 07. 03. 15:20:30,2020. 07. 03. 15:20:30,
1.523973,com.sec.android.app.shealth,48,230002,32400000,2020. 07. 03. 15:20:00,1.780000,ITeeWLY/e8,,2020. 07. 03. 15:20:59,dc3a92fd-3be2-a919-5611-0c637afd390e,36.290000,2020. 07. 03. 15:20:30,2020. 07. 03. 15:20:30,
0.850520,com.sec.android.app.shealth,12,,32400000,2020. 07. 06. 08:33:00,0.466002,sZOKHxE5f1,,2020. 07. 06. 08:34:00,15939919-0000-0000-F100-939919800000,9.063350,2020. 07. 06. 08:33:33,2020. 07. 06. 08:33:33,
0.664608,com.sec.android.app.shealth,21,,32400000,2020. 07. 06. 08:34:00,0.932836,sZOKHxE5f1,,2020. 07. 06. 08:35:00,15939920-0000-0000-F100-939920400000,15.469236,2020. 07. 06. 09:47:17,2020. 07. 06. 09:47:17,
1.199200,com.sec.android.app.shealth,81,,32400000,2020. 07. 06. 08:35:00,2.954549,sZOKHxE5f1,,2020. 07. 06. 08:36:00,15939921-0000-0000-F100-939921000000,61.275734,2020. 07. 06. 09:47:17,2020. 07. 06. 09:47:17,
1.286669,com.sec.android.app.shealth,111,,32400000,2020. 07. 06. 08:36:00,3.585729,sZOKHxE5f1,,2020. 07. 06. 08:37:00,15939921-0000-0000-F100-939921600000,76.719742,2020. 07. 06. 09:47:17,2020. 07. 06. 09:47:17,
1.368379,com.sec.android.app.shealth,112,,32400000,2020. 07. 06. 08:37:00,3.742409,sZOKHxE5f1,,2020. 07. 06. 08:38:00,15939922-0000-0000-F100-939922200000,81.527145,2020. 07. 06. 09:47:17,2020. 07. 06. 09:47:17,
1.155859,com.sec.android.app.shealth,92,,32400000,2020. 07. 06. 08:38:00,3.391426,sZOKHxE5f1,,2020. 07. 06. 08:39:00,15939922-0000-0000-F100-939922800000,70.015907,2020. 07. 06. 09:47:17,2020. 07. 06. 09:47:17,
1.354788,com.sec.android.app.shealth,107,,32400000,2020. 07. 06. 08:39:00,3.779337,sZOKHxE5f1,,2020. 07. 06. 08:40:00,15939923-0000-0000-F100-939923400000,81.470474,2020. 07. 06. 09:47:17,2020. 07. 06. 09:47:17,
1.372572,com.sec.android.app.shealth,111,,32400000,2020. 07. 06. 08:40:00,3.814015,sZOKHxE5f1,,2020. 07. 06. 08:41:00,15939924-0000-0000-F100-939924000000,82.611290,2020. 07. 06. 09:47:17,2020. 07. 06. 09:47:17,
1.322383,com.sec.android.app.shealth,105,,32400000,2020. 07. 06. 08:41:00,3.654212,sZOKHxE5f1,,2020. 07. 06. 08:42:00,15939924-0000-0000-F100-939924600000,79.212189,2020. 07. 06. 09:47:17,2020. 07. 06. 09:47:17,
1.457565,com.sec.android.app.shealth,115,,32400000,2020. 07. 06. 08:42:00,3.913422,sZOKHxE5f1,,2020. 07. 06. 08:43:00,15939925-0000-0000-F100-939925200000,87.152893,2020. 07. 06. 09:47:18,2020. 07. 06. 09:47:18,
1.349690,com.sec.android.app.shealth,105,,32400000,2020. 07. 06. 08:43:00,3.706573,sZOKHxE5f1,,2020. 07. 06. 08:44:00,15939925-0000-0000-F100-939925800000,80.300301,2020. 07. 06. 09:47:18,2020. 07. 06. 09:47:18,
1.266974,com.sec.android.app.shealth,91,,32400000,2020. 07. 06. 08:44:00,3.127020,sZOKHxE5f1,,2020. 07. 06. 08:45:00,15939926-0000-0000-F100-939926400000,66.735657,2020. 07. 06. 09:47:18,2020. 07. 06. 09:47:18,
0.314200,com.sec.android.app.shealth,23,,32400000,2020. 07. 06. 08:45:00,1.254303,sZOKHxE5f1,,2020. 07. 06. 08:46:00,15939927-0000-0000-F100-939927000000,13.750836,2020. 07. 06. 09:47:18,2020. 07. 06. 09:47:18,
0.514701,com.sec.android.app.shealth,32,,32400000,2020. 07. 06. 08:46:00,1.320386,sZOKHxE5f1,,2020. 07. 06. 08:47:00,15939927-0000-0000-F100-939927600000,19.406076,2020. 07. 06. 09:47:18,2020. 07. 06. 09:47:18,
0.968396,com.sec.android.app.shealth,18,,32400000,2020. 07. 06. 08:47:00,0.554743,sZOKHxE5f1,,2020. 07. 06. 08:48:00,15939928-0000-0000-F100-939928200000,10.792746,2020. 07. 06. 09:47:18,2020. 07. 06. 09:47:18,
0.902338,com.sec.android.app.shealth,91,,32400000,2020. 07. 06. 08:48:00,2.607353,sZOKHxE5f1,,2020. 07. 06. 08:49:00,15939928-0000-0000-F100-939928800000,49.469143,2020. 07. 06. 09:47:18,2020. 07. 06. 09:47:18,
1.065270,com.sec.android.app.shealth,30,,32400000,2020. 07. 06. 08:49:00,0.857274,sZOKHxE5f1,,2020. 07. 06. 08:50:00,15939929-0000-0000-F100-939929400000,17.735073,2020. 07. 06. 09:47:18,2020. 07. 06. 09:47:18,
0.875532,com.sec.android.app.shealth,66,,32400000,2020. 07. 06. 08:50:00,2.181004,sZOKHxE5f1,,2020. 07. 06. 08:51:00,15939930-0000-0000-F100-939930000000,40.999538,2020. 07. 06. 09:47:18,2020. 07. 06. 09:47:18,
0.950159,com.sec.android.app.shealth,26,,32400000,2020. 07. 06. 08:56:00,0.797416,sZOKHxE5f1,,2020. 07. 06. 08:57:00,15939933-0000-0000-F100-939933600000,15.767754,2020. 07. 06. 09:47:18,2020. 07. 06. 09:47:18,
1.020291,com.sec.android.app.shealth,71,,32400000,2020. 07. 06. 08:57:00,2.501654,sZOKHxE5f1,,2020. 07. 06. 08:58:00,15939934-0000-0000-F100-939934200000,49.857613,2020. 07. 06. 09:47:18,2020. 07. 06. 09:47:18,
0.851971,com.sec.android.app.shealth,14,,32400000,2020. 07. 06. 08:58:00,0.419827,sZOKHxE5f1,,2020. 07. 06. 08:59:00,15939934-0000-0000-F100-939934800000,8.280098,2020. 07. 06. 09:47:18,2020. 07. 06. 09:47:18,
0.506813,com.sec.android.app.shealth,13,,32400000,2020. 07. 06. 09:08:00,0.708595,sZOKHxE5f1,,2020. 07. 06. 09:09:00,15939940-0000-0000-F100-939940800000,10.604552,2020. 07. 06. 09:47:18,2020. 07. 06. 09:47:18,
1.240618,com.sec.android.app.shealth,54,,32400000,2020. 07. 06. 09:09:00,1.896909,sZOKHxE5f1,,2020. 07. 06. 09:10:00,15939941-0000-0000-F100-939941400000,40.530643,2020. 07. 06. 09:47:18,2020. 07. 06. 09:47:18,
1.555556,com.sec.android.app.shealth,24,230002,32400000,2020. 07. 06. 08:34:00,0.830000,ITeeWLY/e8,,2020. 07. 06. 08:34:59,d5238b17-0ff9-19fe-3415-a88abc624c33,18.800000,2020. 07. 06. 08:34:59,2020. 07. 06. 08:34:59,
1.444444,com.sec.android.app.shealth,97,230002,32400000,2020. 07. 06. 08:35:00,3.390000,ITeeWLY/e8,,2020. 07. 06. 08:35:59,4fc719b3-1af5-eee8-6c1f-3767563e05bc,74.320000,2020. 07. 06. 08:44:14,2020. 07. 06. 08:44:14,
1.512833,com.sec.android.app.shealth,117,230002,32400000,2020. 07. 06. 08:36:00,3.870000,ITeeWLY/e8,,2020. 07. 06. 08:36:59,20e12bc6-8756-0765-dec5-d1bd2bd8a5c6,90.770000,2020. 07. 06. 08:44:14,2020. 07. 06. 08:44:14,
1.444444,com.sec.android.app.shealth,112,230002,32400000,2020. 07. 06. 08:37:00,3.860000,ITeeWLY/e8,,2020. 07. 06. 08:37:59,e016f982-3d39-a268-b973-c945a5dc9588,86.390000,2020. 07. 06. 08:44:14,2020. 07. 06. 08:44:14,
1.472222,com.sec.android.app.shealth,112,230002,32400000,2020. 07. 06. 08:38:00,3.900000,ITeeWLY/e8,,2020. 07. 06. 08:38:59,9f8ed860-48bb-8213-ba71-a8d6ff114c70,86.600000,2020. 07. 06. 08:44:14,2020. 07. 06. 08:44:14,
1.333333,com.sec.android.app.shealth,107,230002,32400000,2020. 07. 06. 08:39:00,7.160000,ITeeWLY/e8,,2020. 07. 06. 08:39:59,eee889f8-5f55-6ba8-b125-42792ba79ea5,54.780000,2020. 07. 06. 08:44:14,2020. 07. 06. 08:44:14,
1.416667,com.sec.android.app.shealth,113,230002,32400000,2020. 07. 06. 08:40:00,5.220000,ITeeWLY/e8,,2020. 07. 06. 08:40:59,ce153113-e700-9f77-a511-3160c3903ac6,75.260000,2020. 07. 06. 08:44:14,2020. 07. 06. 08:44:14,
1.333333,com.sec.android.app.shealth,106,230002,32400000,2020. 07. 06. 08:41:00,6.740000,ITeeWLY/e8,,2020. 07. 06. 08:41:59,7dee58ec-a3d7-3229-e6d5-206a6c8d2e13,62.640000,2020. 07. 06. 08:44:14,2020. 07. 06. 08:44:14,
1.472222,com.sec.android.app.shealth,116,230002,32400000,2020. 07. 06. 08:42:00,6.540000,ITeeWLY/e8,,2020. 07. 06. 08:42:59,b2006c89-917f-f332-045a-23d608b36360,68.670000,2020. 07. 06. 08:44:14,2020. 07. 06. 08:44:14,
1.472222,com.sec.android.app.shealth,113,230002,32400000,2020. 07. 06. 08:43:00,3.840000,ITeeWLY/e8,,2020. 07. 06. 08:43:59,2983ac75-e316-f6c3-6f8f-bbd0c44188fd,87.270000,2020. 07. 06. 08:44:14,2020. 07. 06. 08:44:14,
1.442921,com.sec.android.app.shealth,50,230002,32400000,2020. 07. 06. 08:44:00,2.420000,ITeeWLY/e8,,2020. 07. 06. 08:44:59,b8a1fc49-a391-ada9-0f78-75124e561023,32.430000,2020. 07. 06. 08:44:14,2020. 07. 06. 08:49:01,
1.583333,com.sec.android.app.shealth,44,230002,32400000,2020. 07. 06. 08:45:00,1.520000,ITeeWLY/e8,,2020. 07. 06. 08:45:59,440dbb6b-300b-d46f-5807-fafefc5a38a2,33.930000,2020. 07. 06. 08:49:01,2020. 07. 06. 08:49:01,
1.444444,com.sec.android.app.shealth,75,230002,32400000,2020. 07. 06. 08:46:00,2.620000,ITeeWLY/e8,,2020. 07. 06. 08:46:59,5bad6e3e-3f4c-ca2b-f19b-dedcab99d2bb,56.820000,2020. 07. 06. 08:49:01,2020. 07. 06. 08:49:01,
1.472222,com.sec.android.app.shealth,7,230002,32400000,2020. 07. 06. 08:47:00,0.220000,ITeeWLY/e8,,2020. 07. 06. 08:47:59,3e59ae21-f421-845d-cecb-f3b534df45b3,5.410000,2020. 07. 06. 08:49:01,2020. 07. 06. 08:49:01,
1.333333,com.sec.android.app.shealth,32,230002,32400000,2020. 07. 06. 08:48:00,1.090000,ITeeWLY/e8,,2020. 07. 06. 08:48:59,437686af-ead5-b00a-8c8d-291f632401fe,23.730000,2020. 07. 06. 08:49:01,2020. 07. 06. 08:49:01,
1.527778,com.sec.android.app.shealth,51,230002,32400000,2020. 07. 06. 08:50:00,1.790000,ITeeWLY/e8,,2020. 07. 06. 08:50:59,74c1053b-8db8-7a1b-96f2-8ce20d8357ef,39.340000,2020. 07. 06. 08:52:50,2020. 07. 06. 08:52:50,
1.638889,com.sec.android.app.shealth,26,230002,32400000,2020. 07. 06. 08:56:00,0.890000,ITeeWLY/e8,,2020. 07. 06. 08:56:59,8971abd1-9544-afc0-39ce-1da766c73d1d,20.590000,2020. 07. 06. 08:59:45,2020. 07. 06. 08:59:45,
1.694444,com.sec.android.app.shealth,67,230002,32400000,2020. 07. 06. 08:57:00,2.350000,ITeeWLY/e8,,2020. 07. 06. 08:57:59,9f7f6078-d42b-4780-f754-1d331a735be5,46.920000,2020. 07. 06. 08:59:45,2020. 07. 06. 08:59:45,
2.611111,com.sec.android.app.shealth,10,230002,32400000,2020. 07. 06. 09:08:00,0.660000,ITeeWLY/e8,,2020. 07. 06. 09:08:59,41c14383-8ea3-ab79-348a-2cf305742125,9.960000,2020. 07. 06. 09:08:41,2020. 07. 06. 09:08:41,
1.555556,com.sec.android.app.shealth,55,230002,32400000,2020. 07. 06. 09:09:00,1.920000,ITeeWLY/e8,,2020. 07. 06. 09:09:59,2556c7f9-3fea-9d76-2a74-84b7cb6de5f2,41.560000,2020. 07. 06. 09:09:41,2020. 07. 06. 09:09:41,
1.347038,com.sec.android.app.shealth,14,230002,32400000,2020. 07. 06. 10:04:00,0.660000,ITeeWLY/e8,,2020. 07. 06. 10:04:59,7a2350b7-ef0a-0a44-5982-4ddae148f92f,10.740000,2020. 07. 06. 10:04:49,2020. 07. 06. 10:05:31,
