com.samsung.shealth.activity.day_summary,1140029,1
day_time,goal,update_time,pkg_name,walk_time,longest_idle_time,active_time,longest_active_time,calorie,deviceuuid,run_time,step_count,extra_data,datauuid,distance,create_time,others_time,score
1591660800000,-1,2020. 07. 06. 08:33:21,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,f9a28565-e0f0-4144-92c6-eb6a5c71f698.extra_data,f9a28565-e0f0-4144-92c6-eb6a5c71f698,0.000000,2020. 07. 06. 08:33:21,0,0,
1591747200000,-1,2020. 07. 06. 08:33:21,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,92be6316-67bf-4edd-bd32-5c74f97c21c6.extra_data,92be6316-67bf-4edd-bd32-5c74f97c21c6,0.000000,2020. 07. 06. 08:33:21,0,0,
1591833600000,-1,2020. 07. 06. 08:33:22,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,63ab6714-0009-4bd0-a485-d40cc1bb64f2.extra_data,63ab6714-0009-4bd0-a485-d40cc1bb64f2,0.000000,2020. 07. 06. 08:33:22,0,0,
1591920000000,-1,2020. 07. 06. 08:33:22,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,00c56c8f-ec6d-4db7-b68c-295371c79c5f.extra_data,00c56c8f-ec6d-4db7-b68c-295371c79c5f,0.000000,2020. 07. 06. 08:33:22,0,0,
1592006400000,-1,2020. 07. 06. 08:33:22,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,4ab5951e-f404-48bc-ab99-518febcdbaa6.extra_data,4ab5951e-f404-48bc-ab99-518febcdbaa6,0.000000,2020. 07. 06. 08:33:22,0,0,
1592092800000,-1,2020. 07. 06. 08:33:22,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,68c785a6-5bd5-4ab8-9644-fd993ea7d575.extra_data,68c785a6-5bd5-4ab8-9644-fd993ea7d575,0.000000,2020. 07. 06. 08:33:22,0,0,
1592179200000,-1,2020. 07. 06. 08:33:23,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,687ae64f-2ed6-4bd7-a95f-98e013207c66.extra_data,687ae64f-2ed6-4bd7-a95f-98e013207c66,0.000000,2020. 07. 06. 08:33:23,0,0,
1592265600000,-1,2020. 07. 06. 08:33:23,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,3338ba87-361b-4d6b-b62a-1d5c38d265ae.extra_data,3338ba87-361b-4d6b-b62a-1d5c38d265ae,0.000000,2020. 07. 06. 08:33:23,0,0,
1592352000000,-1,2020. 07. 06. 08:33:23,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,11e45e3e-c7e7-4a7d-8af3-153a02a6a02f.extra_data,11e45e3e-c7e7-4a7d-8af3-153a02a6a02f,0.000000,2020. 07. 06. 08:33:23,0,0,
1592438400000,-1,2020. 07. 06. 08:33:24,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,224a6c11-dffe-40e5-abd7-30ca2ceb90cf.extra_data,224a6c11-dffe-40e5-abd7-30ca2ceb90cf,0.000000,2020. 07. 06. 08:33:24,0,0,
1592524800000,-1,2020. 07. 06. 08:33:24,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,97313d59-fb87-45a9-93ae-3ac90dc11301.extra_data,97313d59-fb87-45a9-93ae-3ac90dc11301,0.000000,2020. 07. 06. 08:33:24,0,0,
1592611200000,-1,2020. 07. 06. 08:33:24,com.sec.android.app.shealth,0,-1,0,0,0.000000,sZOKHxE5f1,0,0,c96ba4e1-e3bd-41c3-adc8-c43a14000c78.extra_data,c96ba4e1-e3bd-41c3-adc8-c43a14000c78,0.000000,2020. 07. 06. 08:33:24,0,0,
