com.samsung.shealth.step_daily_trend,1140029,6
speed,day_time,pkg_name,count,binning_data,source_pkg_name,source_type,calorie,deviceuuid,datauuid,distance,create_time,update_time
1.320934,1593993600000,com.sec.android.app.shealth,12939,c8b6dc81-a836-41ed-a9e9-d6721227af9b.binning_data,com.sec.android.app.shealth,-2,623.852686,VfS0qUERdZ,c8b6dc81-a836-41ed-a9e9-d6721227af9b,9741.653643,2020. 07. 06. 08:28:29,2020. 07. 07. 10:04:43,
1.523973,1593734400000,com.sec.android.app.shealth,156,a0f5b876-ec94-4895-af3b-903d8a29f3a9.binning_data,com.sec.android.app.shealth,23,6.810000,ITeeWLY/e8,a0f5b876-ec94-4895-af3b-903d8a29f3a9,111.890000,2020. 07. 06. 08:33:18,2020. 07. 06. 08:33:18,
1.405591,1593734400000,com.sec.android.app.shealth,156,5f89eeb9-ab21-4fa3-bf31-7a169745287f.binning_data,com.sec.android.app.shealth,-2,6.810000,VfS0qUERdZ,5f89eeb9-ab21-4fa3-bf31-7a169745287f,111.890000,2020. 07. 06. 08:33:19,2020. 07. 06. 08:33:19,
1.648955,1593993600000,com.sec.android.app.shealth,10161,160c880b-b73c-408e-a259-d5ccad2d2db6.binning_data,com.sec.android.app.shealth,0,485.765018,sZOKHxE5f1,160c880b-b73c-408e-a259-d5ccad2d2db6,7248.984663,2020. 07. 06. 09:47:18,2020. 07. 07. 10:04:16,
2.611111,1593993600000,com.sec.android.app.shealth,12124,8b3a59e8-1c5f-42ea-b4cc-bc63ce9d76db.binning_data,com.sec.android.app.shealth,23,590.630000,ITeeWLY/e8,8b3a59e8-1c5f-42ea-b4cc-bc63ce9d76db,9310.892000,2020. 07. 06. 09:47:30,2020. 07. 07. 14:24:19,
1.752331,1594080000000,com.sec.android.app.shealth,15134,11ccc937-d223-4507-a3be-63f961c1024f.binning_data,com.sec.android.app.shealth,0,727.114129,sZOKHxE5f1,11ccc937-d223-4507-a3be-63f961c1024f,11003.111306,2020. 07. 07. 10:04:16,2020. 07. 07. 22:26:04,
1.347375,1594080000000,com.sec.android.app.shealth,18020,e56c0312-71f3-4110-b179-876d4ac7ffca.binning_data,com.sec.android.app.shealth,-2,878.870785,VfS0qUERdZ,e56c0312-71f3-4110-b179-876d4ac7ffca,13535.684490,2020. 07. 07. 10:04:16,2020. 07. 08. 10:25:55,
2.694444,1594080000000,com.sec.android.app.shealth,17439,6e4fcfa4-fa52-42c9-8b2d-408eda7f1e38.binning_data,com.sec.android.app.shealth,23,861.531215,ITeeWLY/e8,6e4fcfa4-fa52-42c9-8b2d-408eda7f1e38,13153.568583,2020. 07. 07. 10:04:35,2020. 07. 08. 16:00:11,
1.576693,1594166400000,com.sec.android.app.shealth,6773,a627bf7e-e40a-4729-8449-4760defd5f32.binning_data,com.sec.android.app.shealth,0,320.980466,sZOKHxE5f1,a627bf7e-e40a-4729-8449-4760defd5f32,4874.960470,2020. 07. 08. 10:23:54,2020. 07. 09. 14:23:57,
1.177515,1594166400000,com.sec.android.app.shealth,7649,40b89c47-8023-4b6c-9287-a37ff41f151a.binning_data,com.sec.android.app.shealth,-2,371.665742,VfS0qUERdZ,40b89c47-8023-4b6c-9287-a37ff41f151a,5604.999012,2020. 07. 08. 10:23:54,2020. 07. 09. 14:24:07,
1.902756,1594166400000,com.sec.android.app.shealth,3832,3459667c-0c68-4561-9721-618c0a9f4174.binning_data,com.sec.android.app.shealth,23,197.180000,ITeeWLY/e8,3459667c-0c68-4561-9721-618c0a9f4174,2887.950000,2020. 07. 08. 10:24:20,2020. 07. 09. 14:24:07,
1.792673,1594252800000,com.sec.android.app.shealth,5821,95249b2a-c657-44de-84c5-651bbeaa68ed.binning_data,com.sec.android.app.shealth,0,279.506136,sZOKHxE5f1,95249b2a-c657-44de-84c5-651bbeaa68ed,4167.303700,2020. 07. 09. 14:23:57,2020. 07. 10. 11:52:45,
1.203002,1594252800000,com.sec.android.app.shealth,6914,b269fdc3-18a3-47ab-b62a-8905fc0bc51e.binning_data,com.sec.android.app.shealth,-2,344.160153,VfS0qUERdZ,b269fdc3-18a3-47ab-b62a-8905fc0bc51e,5050.340587,2020. 07. 09. 14:23:57,2020. 07. 10. 11:53:19,
2.194444,1594252800000,com.sec.android.app.shealth,5791,f809c1d3-d81d-4064-a101-1049af385d82.binning_data,com.sec.android.app.shealth,23,293.287636,ITeeWLY/e8,f809c1d3-d81d-4064-a101-1049af385d82,4340.403803,2020. 07. 09. 14:24:07,2020. 07. 10. 17:34:48,
4.251477,1594339200000,com.sec.android.app.shealth,8894,5533fd95-ed2a-46b2-8f25-f8404e66f906.binning_data,com.sec.android.app.shealth,0,563.525823,sZOKHxE5f1,5533fd95-ed2a-46b2-8f25-f8404e66f906,9028.169315,2020. 07. 10. 11:52:45,2020. 07. 13. 14:14:10,
