com.samsung.shealth.stress,1140029,7
update_time,pkg_name,time_offset,binning_data,max,start_time,comment,tag_id,deviceuuid,custom,end_time,datauuid,create_time,score,algorithm,min
2020. 07. 06. 13:28:29,com.sec.android.app.shealth,32400000,,0.000000,2020. 07. 06. 13:02:29,,10000,ITeeWLY/e8,,2020. 07. 06. 13:02:29,15a0a457-1737-90f0-e031-41286e2d37f8,2020. 07. 06. 13:02:29,0.000000,1,0.000000,
2020. 07. 06. 22:03:23,com.sec.android.app.shealth,32400000,,100.000000,2020. 07. 06. 22:03:23,,10000,ITeeWLY/e8,,2020. 07. 06. 22:03:23,c0218e83-56ec-b49c-c544-49ded576efc0,2020. 07. 06. 22:03:23,100.000000,1,100.000000,
2020. 07. 06. 22:04:16,com.sec.android.app.shealth,32400000,,99.000000,2020. 07. 06. 22:04:16,,10000,ITeeWLY/e8,,2020. 07. 06. 22:04:16,c5c55edd-3c0f-c2b0-2a7c-54d85799a5e7,2020. 07. 06. 22:04:16,99.000000,1,99.000000,
2020. 07. 07. 14:15:15,com.sec.android.app.shealth,32400000,,99.000000,2020. 07. 07. 10:03:39,,10000,ITeeWLY/e8,,2020. 07. 07. 10:03:39,9b868417-2901-0666-918a-d4c2dc68e5be,2020. 07. 07. 10:03:39,99.000000,1,99.000000,
2020. 07. 07. 15:09:50,com.sec.android.app.shealth,32400000,,0.000000,2020. 07. 07. 14:13:44,,10000,ITeeWLY/e8,,2020. 07. 07. 14:13:44,2b8d94e6-e7a4-17db-773e-84c5eb0c0e67,2020. 07. 07. 14:13:44,0.000000,1,0.000000,
2020. 07. 07. 16:04:25,com.sec.android.app.shealth,32400000,5b9227db-2680-9ea4-f8af-cba21611e415.binning_data,100.000000,2020. 07. 07. 15:00:00,,10011,ITeeWLY/e8,,2020. 07. 07. 15:59:59,5b9227db-2680-9ea4-f8af-cba21611e415,2020. 07. 07. 16:04:25,6.000000,1,0.000000,
2020. 07. 07. 17:03:56,com.sec.android.app.shealth,32400000,48da74a8-cafc-866e-a942-8abcd8380360.binning_data,40.000000,2020. 07. 07. 16:00:00,,10011,ITeeWLY/e8,,2020. 07. 07. 16:59:59,48da74a8-cafc-866e-a942-8abcd8380360,2020. 07. 07. 17:03:56,1.000000,1,0.000000,
2020. 07. 07. 18:03:15,com.sec.android.app.shealth,32400000,bd64f440-586c-961c-2615-17f43371f2b2.binning_data,13.000000,2020. 07. 07. 17:00:00,,10011,ITeeWLY/e8,,2020. 07. 07. 17:59:59,bd64f440-586c-961c-2615-17f43371f2b2,2020. 07. 07. 18:03:15,0.000000,1,0.000000,
2020. 07. 07. 19:02:32,com.sec.android.app.shealth,32400000,69cbc478-e338-ed50-7bf6-c0792acc928e.binning_data,7.000000,2020. 07. 07. 18:00:00,,10011,ITeeWLY/e8,,2020. 07. 07. 18:59:59,69cbc478-e338-ed50-7bf6-c0792acc928e,2020. 07. 07. 19:02:32,0.000000,1,0.000000,
2020. 07. 07. 20:02:51,com.sec.android.app.shealth,32400000,e1f3c9d3-e847-64b4-e4ca-5c1fffdee518.binning_data,89.000000,2020. 07. 07. 19:00:00,,10011,ITeeWLY/e8,,2020. 07. 07. 19:59:59,e1f3c9d3-e847-64b4-e4ca-5c1fffdee518,2020. 07. 07. 20:02:51,6.000000,1,0.000000,
2020. 07. 07. 21:10:18,com.sec.android.app.shealth,32400000,02487f37-e7e5-b88a-688f-a2f6a3e31a1d.binning_data,89.000000,2020. 07. 07. 20:00:00,,10011,ITeeWLY/e8,,2020. 07. 07. 20:59:59,02487f37-e7e5-b88a-688f-a2f6a3e31a1d,2020. 07. 07. 21:10:18,11.000000,1,0.000000,
2020. 07. 07. 22:07:08,com.sec.android.app.shealth,32400000,59500648-80f0-ceb3-dde0-a4377df50f0e.binning_data,99.000000,2020. 07. 07. 21:00:00,,10011,ITeeWLY/e8,,2020. 07. 07. 21:59:59,59500648-80f0-ceb3-dde0-a4377df50f0e,2020. 07. 07. 22:07:08,14.000000,1,1.000000,
