com.samsung.shealth.tracker.pedometer_day_summary,1140029,5
day_time,speed,update_time,pkg_name,source_info,source_package_name,walk_step_count,binning_data,active_time,achievement,healthy_step,calorie,recommendation,datauuid,deviceuuid,distance,create_time,run_step_count,step_count
1593993600000,1.320934,2020. 07. 07. 10:04:43,com.sec.android.app.shealth,,com.sec.android.app.shealth,12695,609db4c1-cfae-4695-bebf-e8a4a98f1301.binning_data,7374822,609db4c1-cfae-4695-bebf-e8a4a98f1301.achievement,0,623.852661,6000,609db4c1-cfae-4695-bebf-e8a4a98f1301,VfS0qUERdZ,9741.653320,2020. 07. 06. 08:28:29,244,12939,
1593734400000,1.523973,2020. 07. 06. 08:33:18,com.sec.android.app.shealth,,com.sec.android.app.shealth,156,169a299f-a9c3-42c3-b1ac-ffad075079f0.binning_data,79602,169a299f-a9c3-42c3-b1ac-ffad075079f0.achievement,0,6.810000,6000,169a299f-a9c3-42c3-b1ac-ffad075079f0,ITeeWLY/e8,111.889999,2020. 07. 06. 08:33:18,0,156,
1593734400000,1.405591,2020. 07. 06. 08:33:19,com.sec.android.app.shealth,,com.sec.android.app.shealth,156,904e9a16-a845-4ef7-bacd-625fef4dd3e6.binning_data,79603,904e9a16-a845-4ef7-bacd-625fef4dd3e6.achievement,0,6.810000,6000,904e9a16-a845-4ef7-bacd-625fef4dd3e6,VfS0qUERdZ,111.889999,2020. 07. 06. 08:33:19,0,156,
1593993600000,1.648955,2020. 07. 07. 10:04:16,com.sec.android.app.shealth,,com.sec.android.app.shealth,10161,4242cbac-72cd-4ffd-be7b-c9d11ab31239.binning_data,7756000,4242cbac-72cd-4ffd-be7b-c9d11ab31239.achievement,0,485.765015,6000,4242cbac-72cd-4ffd-be7b-c9d11ab31239,sZOKHxE5f1,7248.984863,2020. 07. 06. 09:47:18,0,10161,
1593993600000,2.611111,2020. 07. 07. 14:24:19,com.sec.android.app.shealth,,com.sec.android.app.shealth,11880,80793f32-8419-4852-b53b-8e5c6729fb17.binning_data,6158549,80793f32-8419-4852-b53b-8e5c6729fb17.achievement,0,590.630005,6000,80793f32-8419-4852-b53b-8e5c6729fb17,ITeeWLY/e8,9310.891602,2020. 07. 06. 09:47:30,244,12124,
1594080000000,1.752331,2020. 07. 07. 22:26:04,com.sec.android.app.shealth,,com.sec.android.app.shealth,15134,ef1524cc-9ade-4559-85a2-57fcbacbb7de.binning_data,10426000,ef1524cc-9ade-4559-85a2-57fcbacbb7de.achievement,0,727.114136,6000,ef1524cc-9ade-4559-85a2-57fcbacbb7de,sZOKHxE5f1,11003.111328,2020. 07. 07. 10:04:16,0,15134,
1594080000000,1.347375,2020. 07. 08. 10:25:55,com.sec.android.app.shealth,,com.sec.android.app.shealth,18002,c220abba-ccc2-4a09-a66c-2b34ca221f9e.binning_data,10045967,c220abba-ccc2-4a09-a66c-2b34ca221f9e.achievement,0,878.870789,6000,c220abba-ccc2-4a09-a66c-2b34ca221f9e,VfS0qUERdZ,13535.684570,2020. 07. 07. 10:04:16,18,18020,
1594080000000,2.694444,2020. 07. 08. 16:00:11,com.sec.android.app.shealth,,com.sec.android.app.shealth,17421,29172d85-a3ae-42f6-a206-6d56b5bbeaa9.binning_data,8960523,29172d85-a3ae-42f6-a206-6d56b5bbeaa9.achievement,0,861.531189,6000,29172d85-a3ae-42f6-a206-6d56b5bbeaa9,ITeeWLY/e8,13153.568359,2020. 07. 07. 10:04:35,18,17439,
1594166400000,1.576693,2020. 07. 09. 14:23:57,com.sec.android.app.shealth,,com.sec.android.app.shealth,6773,f4a26ce8-066e-4bac-aa75-2cddfdeddfd7.binning_data,4685000,f4a26ce8-066e-4bac-aa75-2cddfdeddfd7.achievement,0,320.980469,6000,f4a26ce8-066e-4bac-aa75-2cddfdeddfd7,sZOKHxE5f1,4874.960449,2020. 07. 08. 10:23:54,0,6773,
1594166400000,1.177515,2020. 07. 09. 14:24:07,com.sec.android.app.shealth,,com.sec.android.app.shealth,7649,52226a66-49a7-47ef-8ec3-cc117cc3ef20.binning_data,4760022,52226a66-49a7-47ef-8ec3-cc117cc3ef20.achievement,0,371.665741,6000,52226a66-49a7-47ef-8ec3-cc117cc3ef20,VfS0qUERdZ,5604.999023,2020. 07. 08. 10:23:54,0,7649,
1594166400000,1.902756,2020. 07. 09. 14:24:07,com.sec.android.app.shealth,,com.sec.android.app.shealth,3832,86c66ce4-3bbb-4f6d-bbc2-1efc9a9f7581.binning_data,1965550,86c66ce4-3bbb-4f6d-bbc2-1efc9a9f7581.achievement,0,197.179993,6000,86c66ce4-3bbb-4f6d-bbc2-1efc9a9f7581,ITeeWLY/e8,2887.949951,2020. 07. 08. 10:24:19,0,3832,
1594252800000,1.792673,2020. 07. 10. 11:52:45,com.sec.android.app.shealth,,com.sec.android.app.shealth,5821,492a6d84-3884-41ae-9ace-fec658d6d2c9.binning_data,4210000,492a6d84-3884-41ae-9ace-fec658d6d2c9.achievement,0,279.506134,6000,492a6d84-3884-41ae-9ace-fec658d6d2c9,sZOKHxE5f1,4167.303711,2020. 07. 09. 14:23:57,0,5821,
1594252800000,1.203002,2020. 07. 10. 11:53:19,com.sec.android.app.shealth,,com.sec.android.app.shealth,6858,6a9df12d-08d3-489a-90c7-943e8f06ca52.binning_data,4198115,6a9df12d-08d3-489a-90c7-943e8f06ca52.achievement,0,344.160156,6000,6a9df12d-08d3-489a-90c7-943e8f06ca52,VfS0qUERdZ,5050.340820,2020. 07. 09. 14:23:57,56,6914,
1594252800000,2.194444,2020. 07. 10. 17:34:48,com.sec.android.app.shealth,,com.sec.android.app.shealth,5735,6835c191-2715-43ce-9dc1-397277d912a9.binning_data,2916409,6835c191-2715-43ce-9dc1-397277d912a9.achievement,0,293.287628,6000,6835c191-2715-43ce-9dc1-397277d912a9,ITeeWLY/e8,4340.403809,2020. 07. 09. 14:24:07,56,5791,
1594339200000,4.251477,2020. 07. 13. 14:14:10,com.sec.android.app.shealth,,com.sec.android.app.shealth,8894,44a8b816-03ec-4464-8324-2f16499632e0.binning_data,7424000,44a8b816-03ec-4464-8324-2f16499632e0.achievement,0,563.525818,6000,44a8b816-03ec-4464-8324-2f16499632e0,sZOKHxE5f1,9028.168945,2020. 07. 10. 11:52:45,0,8894,
1594339200000,1.353189,2020. 07. 13. 14:15:02,com.sec.android.app.shealth,,com.sec.android.app.shealth,12468,af23ffdc-c423-4ea5-a46d-284253859f01.binning_data,7569551,af23ffdc-c423-4ea5-a46d-284253859f01.achievement,0,672.042358,6000,af23ffdc-c423-4ea5-a46d-284253859f01,VfS0qUERdZ,10243.034180,2020. 07. 10. 11:52:45,44,12512,
1594339200000,4.527778,2020. 07. 13. 17:02:22,com.sec.android.app.shealth,,com.sec.android.app.shealth,11612,dd799d86-3cd4-476d-8dc1-1d9c1615a3c8.binning_data,6090516,dd799d86-3cd4-476d-8dc1-1d9c1615a3c8.achievement,0,590.900024,6000,dd799d86-3cd4-476d-8dc1-1d9c1615a3c8,ITeeWLY/e8,8870.281250,2020. 07. 10. 11:53:29,44,11656,
1594425600000,1.446362,2020. 07. 13. 14:14:10,com.sec.android.app.shealth,,com.sec.android.app.shealth,1450,95d5773c-bb81-435e-8d7f-766d4cf8c1e9.binning_data,1387000,95d5773c-bb81-435e-8d7f-766d4cf8c1e9.achievement,0,78.442451,6000,95d5773c-bb81-435e-8d7f-766d4cf8c1e9,sZOKHxE5f1,1047.682617,2020. 07. 13. 14:14:10,0,1450,
1594512000000,1.591520,2020. 07. 13. 14:14:10,com.sec.android.app.shealth,,com.sec.android.app.shealth,11100,a5aa34d6-c561-45c4-a5b0-ee36c1de7016.binning_data,6905000,a5aa34d6-c561-45c4-a5b0-ee36c1de7016.achievement,0,509.019775,6000,a5aa34d6-c561-45c4-a5b0-ee36c1de7016,sZOKHxE5f1,8028.961914,2020. 07. 13. 14:14:10,0,11100,
1594598400000,1.683666,2020. 07. 13. 20:36:55,com.sec.android.app.shealth,,com.sec.android.app.shealth,6742,533bc8d5-1e0c-408d-baef-c5093fa8090f.binning_data,4510000,533bc8d5-1e0c-408d-baef-c5093fa8090f.achievement,0,313.259064,6000,533bc8d5-1e0c-408d-baef-c5093fa8090f,sZOKHxE5f1,4936.984375,2020. 07. 13. 14:14:10,0,6742,
1594425600000,0.917060,2020. 07. 13. 14:14:24,com.sec.android.app.shealth,,com.sec.android.app.shealth,1651,d4f8bb54-2216-4e32-bbc1-c87d4015104b.binning_data,1322700,d4f8bb54-2216-4e32-bbc1-c87d4015104b.achievement,0,97.489044,6000,d4f8bb54-2216-4e32-bbc1-c87d4015104b,VfS0qUERdZ,1212.995483,2020. 07. 13. 14:14:11,1,1652,
