com.samsung.health.food_info,6105031,5
total_fat,potassium,default_number_of_serving_unit,description,carbohydrate,deviceuuid,metric_serving_amount,update_time,serving_description,datauuid,protein,cholesterol,polysaturated_fat,dietary_fiber,calcium,vitamin_a,create_time,unit_count_per_calorie,vitamin_c,custom,metric_serving_unit,monosaturated_fat,saturated_fat,sodium,info_provider,pkg_name,provider_food_id,name,calorie,iron,trans_fat,sugar
0.09,83.0,1,"317 kcal, 90 g당",70.7,CHxXcBbd2u,90,2019-09-21 09:39:52.564,인분,7fa0cc98-cfe9-43db-9285-bc86a81bc094,5.13,0.0,0.0,0.86,5.0,1.0,2019-09-21 09:39:52.564,0.2840909,0.0,,g,0.0,0.0,5.0,,com.sec.android.app.shealth,samsungosp-011003,쌀밥,316.8,1.0,0.0,0.0,
0.64,256.0,1,"353 kcal, 100 g당",76.6,CHxXcBbd2u,100,2019-09-21 09:39:52.566,인분,98df11a0-3d60-4ea3-bba7-e0beb1094d4a,7.8,0.0,0.06,3.09,16.0,1.0,2019-09-21 09:39:52.566,0.28344673,0.0,,g,0.01,0.03,4.0,,com.sec.android.app.shealth,samsungosp-012011,잡곡밥,352.8,2.0,0.0,0.0,
0.2,380.0,1,"80 kcal, 100 g당",21.1,CHxXcBbd2u,100,2019-09-21 09:39:52.576,인분,9bcd968d-0673-40d1-a068-140ac9ebb255,1.2,0.0,0.0,1.8,4.0,7.0,2019-09-21 09:39:52.576,1.25,10.0,,g,0.0,0.0,2.0,,com.sec.android.app.shealth,samsungosp-211016,바나나,80.0,1.0,0.0,0.0,
1.935,72.0,1,"43 kcal, 115 g당",5.8,CHxXcBbd2u,115,2019-09-21 09:39:52.578,인분,bd41f276-105f-49c1-b4b2-63f88fc7c47c,0.37,7.0,0.0,0.0,12.0,18.0,2019-09-21 09:39:52.578,2.6869159,0.0,,g,0.0,0.0,5.0,,com.sec.android.app.shealth,samsungosp-203017,"커피,설탕,프림",42.8,0.0,0.0,0.0,
0.3,180.0,1,"11 kcal, 60 g당",2.3,CHxXcBbd2u,60,2019-09-21 09:39:52.569,인분,c318c4eb-edaf-4a9b-9a0f-4f879051d8c4,1.2,0.0,0.0,1.8,28.0,29.0,2019-09-21 09:39:52.569,5.5555553,8.0,,g,0.0,0.0,688.0,,com.sec.android.app.shealth,samsungosp-141008,배추김치,10.8,0.0,0.0,0.0,
1.89,293.0,1,"315 kcal, 90 g당",69.4,CHxXcBbd2u,90,2019-09-21 09:39:52.568,인분,f390acd4-7034-4944-862b-49037fa46e55,6.84,0.0,0.0,2.97,5.0,0.0,2019-09-21 09:39:52.568,0.2857143,0.0,,g,0.0,0.0,71.0,,com.sec.android.app.shealth,samsungosp-011005,현미밥,315.0,1.0,0.0,0.0,
6.4,296.0,1,"120 kcal, 200 g당",9.4,CHxXcBbd2u,200,2019-09-21 09:39:52.581,인분,464f4fdb-9752-48be-acf0-39c12b8ffe8e,6.4,22.0,0.22,0.0,210.0,56.0,2019-09-21 09:39:52.581,1.6666666,2.0,,g,1.82,4.34,110.0,,com.sec.android.app.shealth,samsungosp-191005,우유,120.0,0.0,0.0,0.0,
0.0,60.0,1,"3 kcal, 100 g당",0.4,CHxXcBbd2u,100,2019-09-21 09:39:52.579,인분,ca5b6f2d-f9d7-4b4c-97fb-ba04554db29d,0.1,0.0,0.0,0.0,2.0,0.0,2019-09-21 09:39:52.579,33.333332,0.0,,g,0.0,0.0,1.0,,com.sec.android.app.shealth,samsungosp-203018,"커피,원두,블랙",3.0,0.0,0.0,0.0,
12.765,420.0,1,"445 kcal, 191 g당",71.2,CHxXcBbd2u,190,2019-09-21 09:39:52.573,인분,3afb0e8c-f4f1-4a21-8c8b-e0f8fba6460c,10.656,79.0,4.41,3.31,42.0,386.0,2019-09-21 09:39:52.573,0.4271583,14.0,,g,2.93,1.61,662.0,,com.sec.android.app.shealth,samsungosp-016001,김밥,444.8,3.0,0.0,0.0,
20.599,385.0,1,"515 kcal, 169 g당",73.9,CHxXcBbd2u,169,2019-09-21 09:39:52.571,인분,55ab01c9-36b0-493f-b404-c6361e4c546e,15.992,240.0,0.8,3.66,42.0,159.0,2019-09-21 09:39:52.571,0.32815534,1.0,,g,2.19,1.57,1252.0,,com.sec.android.app.shealth,samsungosp-031004,라면,515.0,2.0,0.0,0.0,
