com.samsung.health.sleep_stage,6105031,6
start_time,pkg_name,update_time,create_time,stage,time_offset,datauuid,sleep_id,custom,end_time,deviceuuid
2020-07-12 07:57:00.000,com.sec.android.app.shealth,2020-07-12 07:58:00.000,2020-07-12 07:58:00.000,40002,UTC+0900,9f8e2396-a480-c435-d586-7e617effd220,c1342020-546f-7524-6996-60d5039c026a,,2020-07-12 07:58:00.000,xUcHHNl7co,
2020-07-12 08:08:00.000,com.sec.android.app.shealth,2020-07-12 08:18:00.000,2020-07-12 08:18:00.000,40002,UTC+0900,930102a2-0c65-17c5-6220-f0acefba1660,c1342020-546f-7524-6996-60d5039c026a,,2020-07-12 08:18:00.000,xUcHHNl7co,
2020-07-12 08:49:00.000,com.sec.android.app.shealth,2020-07-12 09:03:00.000,2020-07-12 09:03:00.000,40003,UTC+0900,f3a6991c-0751-66f3-91a3-671566fdd5ab,c1342020-546f-7524-6996-60d5039c026a,,2020-07-12 09:03:00.000,xUcHHNl7co,
2020-07-12 09:37:00.000,com.sec.android.app.shealth,2020-07-12 09:38:00.000,2020-07-12 09:38:00.000,40002,UTC+0900,d19fd262-4f2a-b176-2bc4-9ea4c056e39a,c1342020-546f-7524-6996-60d5039c026a,,2020-07-12 09:38:00.000,xUcHHNl7co,
2020-07-12 17:55:00.000,com.sec.android.app.shealth,2020-07-12 18:06:00.000,2020-07-12 18:06:00.000,40002,UTC+0900,393eee7c-9e69-3642-a82d-c3949b478da9,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:06:00.000,xUcHHNl7co,
2020-07-12 18:20:00.000,com.sec.android.app.shealth,2020-07-12 18:21:00.000,2020-07-12 18:21:00.000,40002,UTC+0900,8273840b-d74a-e73d-5285-139775bfc15d,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:21:00.000,xUcHHNl7co,
2020-07-12 18:32:00.000,com.sec.android.app.shealth,2020-07-12 18:33:00.000,2020-07-12 18:33:00.000,40002,UTC+0900,b9df6f28-d8a3-d41d-a4cd-05f1c8c587fd,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:33:00.000,xUcHHNl7co,
2020-07-12 18:39:00.000,com.sec.android.app.shealth,2020-07-12 18:40:00.000,2020-07-12 18:40:00.000,40002,UTC+0900,98eb23f1-64a8-6c3d-6b27-3f7dcb125870,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:40:00.000,xUcHHNl7co,
2020-07-12 18:52:00.000,com.sec.android.app.shealth,2020-07-12 18:54:00.000,2020-07-12 18:54:00.000,40002,UTC+0900,8b4360fb-02a7-16f8-ed0d-ca18e873c66e,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:54:00.000,xUcHHNl7co,
2020-07-12 19:17:00.000,com.sec.android.app.shealth,2020-07-12 19:22:00.000,2020-07-12 19:22:00.000,40002,UTC+0900,68018be2-427b-d3f7-e0e1-28dfcee3d839,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 19:22:00.000,xUcHHNl7co,
