com.samsung.shealth.rewards,6105031,4
is_visible,create_time,time_offset,program_id,end_time,device_type,title,exercise_type,exercise_session_id,deviceuuid,start_time,pkg_name,update_time,number_of_streak,datauuid,extra_data,controller_id,source_pkg_name
-10000,2019-09-21 09:39:55.198,,,2020-07-16 15:00:00.000,,LAST_SLEEP_CHECKING_TIME,,,CHxXcBbd2u,,com.sec.android.app.shealth,2020-07-16 22:27:46.678,,d253151c-f49b-4dde-9f00-2ee5636db2d2,,Sleep.Goal.Temp,,
0,2019-09-26 05:55:02.729,UTC+0900,,2019-09-26 05:55:02.687,,goal_activity_reward_goal_achieved,,,CHxXcBbd2u,2019-09-26 05:55:02.687,com.sec.android.app.shealth,2019-09-27 13:05:43.195,,505a08a7-b4aa-4efa-a8cf-027ce0184977,"{""mIsCompleted"":false,""mValue"":104,""mValue2"":60}",goal.activity,,
1,2019-10-01 09:09:00.949,UTC+0900,,2019-09-30 15:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,CHxXcBbd2u,2019-09-30 15:00:00.000,com.sec.android.app.shealth,2019-10-06 15:00:01.138,,95f87f52-5459-4f53-9537-67c08e05dc6a,"{""mTarget"":6000,""mValue"":9863}",tracker.pedometer,,
1,2019-10-01 12:03:00.230,UTC+0900,,2019-09-26 15:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,CHxXcBbd2u,2019-09-26 15:00:00.000,com.sec.android.app.shealth,2019-10-01 12:03:01.930,,ac24c0bb-0df3-4967-8884-0513dbe649e0,"{""mTarget"":6000,""mValue"":7551}",tracker.pedometer,,
1,2019-10-01 12:03:00.234,UTC+0900,,2019-09-27 15:00:00.000,10009,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-27 15:00:00.000,com.sec.android.app.shealth,2019-10-01 12:03:00.234,,6a2b341c-b14d-4550-8b8d-d005b732895a,"{""mTarget"":-1,""mValue"":21265}",tracker.pedometer,,
0,2019-09-22 05:36:50.152,UTC+0900,,2019-09-22 05:36:50.129,,goal_activity_reward_goal_achieved,,,CHxXcBbd2u,2019-09-22 05:36:50.129,com.sec.android.app.shealth,2019-09-23 05:53:37.336,,0d560ef7-f9f5-48d8-acc9-5ede1c1ce6a8,"{""mIsCompleted"":false,""mValue"":131,""mValue2"":60}",goal.activity,,
0,2019-09-27 13:05:43.209,UTC+0900,,2019-09-27 13:05:43.180,,goal_activity_reward_goal_achieved,,,CHxXcBbd2u,2019-09-27 13:05:43.180,com.sec.android.app.shealth,2019-09-28 05:40:00.188,,b311604b-8bf7-4c9e-a748-b7da59e93692,"{""mIsCompleted"":false,""mValue"":70,""mValue2"":60}",goal.activity,,
0,2019-10-01 09:17:00.215,UTC+0900,,2019-10-01 09:17:00.187,,goal_activity_reward_goal_achieved,,,CHxXcBbd2u,2019-10-01 09:17:00.187,com.sec.android.app.shealth,2019-10-02 03:26:00.134,,7f028abb-0efc-4f9f-861a-137935121d89,"{""mIsCompleted"":false,""mValue"":89,""mValue2"":60}",goal.activity,,
0,2019-09-22 09:02:57.424,UTC+0900,,2019-09-22 09:02:57.384,,goal_activity_reward_most_active_day,,,CHxXcBbd2u,2019-09-22 11:30:29.854,com.sec.android.app.shealth,2019-09-23 12:57:00.521,,996a41a2-e860-491d-ac1a-26aaae1836f5,"{""mIsCompleted"":false,""mValue"":131,""mValue2"":0}",goal.activity,,
1,2019-10-01 12:03:00.231,UTC+0900,,2019-09-27 15:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,CHxXcBbd2u,2019-09-27 15:00:00.000,com.sec.android.app.shealth,2019-10-01 12:03:02.004,,7f6b1858-52e9-400e-9dd1-a04ae934e63e,"{""mTarget"":6000,""mValue"":21265}",tracker.pedometer,,
