com.samsung.shealth.tracker.heart_rate,6105031,3
tag_id,source,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.heart_rate,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.comment
20000,60009,1593756716177,UTC+0900,82.0,0,,1593756678884,82.0,CHxXcBbd2u,1593756678884,com.sec.android.app.shealth,1593756716177,82.0,,95e13b69-64d1-4ac3-9000-d96a1489e16f,,
21301,,1594256641000,UTC+0900,76.0,1,,1594256641000,76.0,xUcHHNl7co,1594256641000,com.sec.android.app.shealth,1594256641000,76.0,,56f737e9-6111-776a-497f-ce776af649fa,,
21301,,1594271483000,UTC+0900,75.0,1,,1594271483000,75.0,xUcHHNl7co,1594271483000,com.sec.android.app.shealth,1594271483000,75.0,,308788b5-6951-c032-6fed-11ba57a23fcc,,
21301,,1594278191000,UTC+0900,82.0,1,,1594278191000,82.0,xUcHHNl7co,1594278191000,com.sec.android.app.shealth,1594278191000,82.0,,c37c1da2-b267-5cec-0683-33cc7530df2f,,
21301,,1594521618000,UTC+0900,84.0,1,,1594521618000,84.0,xUcHHNl7co,1594521618000,com.sec.android.app.shealth,1594521618000,84.0,,325431df-d6e5-d4dc-46ad-5865b5c00f69,,
21313,,1594524540000,UTC+0900,126.0,1,,1594526399000,87.0,xUcHHNl7co,1594522800000,com.sec.android.app.shealth,1594526399000,70.0,4ce85875-174d-975c-a020-7dccab0888ed.com.samsung.health.heart_rate.binning_data.json,4ce85875-174d-975c-a020-7dccab0888ed,,
21301,,1594532686000,UTC+0900,78.0,1,,1594532686000,78.0,xUcHHNl7co,1594532686000,com.sec.android.app.shealth,1594532686000,78.0,,09edb6ad-291e-d489-d0a3-e7dc1fbc43ef,,
20000,60009,1594009770463,UTC+0900,78.0,0,,1594009747108,78.0,CHxXcBbd2u,1594009747108,com.sec.android.app.shealth,1594009770463,78.0,,34eb53d3-7670-4558-9188-73dfe5a86415,,
21301,,1594540765000,UTC+0900,77.0,1,,1594540765000,77.0,xUcHHNl7co,1594540765000,com.sec.android.app.shealth,1594540765000,77.0,,68f79c36-8099-ff3e-bec7-e7aa1fdd0165,,
21313,,1594264200000,UTC+0900,123.0,1,,1594267199000,97.0,xUcHHNl7co,1594263600000,com.sec.android.app.shealth,1594267199000,78.0,f093ac10-f72e-e368-26ce-16cf70d07aaa.com.samsung.health.heart_rate.binning_data.json,f093ac10-f72e-e368-26ce-16cf70d07aaa,,
21313,,1594547999000,UTC+0900,102.0,1,,1594547999000,66.0,xUcHHNl7co,1594544400000,com.sec.android.app.shealth,1594547999000,60.0,3b3fa2a9-e5d6-cca2-7244-a86755d34054.com.samsung.health.heart_rate.binning_data.json,3b3fa2a9-e5d6-cca2-7244-a86755d34054,,
21301,,1594272102000,UTC+0900,80.0,1,,1594272102000,80.0,xUcHHNl7co,1594272102000,com.sec.android.app.shealth,1594272102000,80.0,,decdfcfb-a118-2404-b726-46785ad6a1ce,,
21301,,1594552615000,UTC+0900,71.0,1,,1594552615000,71.0,xUcHHNl7co,1594552615000,com.sec.android.app.shealth,1594552615000,71.0,,f570ca0f-5e69-6795-176e-a64bf7f005c2,,
21313,,1594555620000,UTC+0900,125.0,1,,1594558799000,81.0,xUcHHNl7co,1594555200000,com.sec.android.app.shealth,1594558799000,61.0,2e782dfb-6ee2-9ec0-515e-0ff6d12e5140.com.samsung.health.heart_rate.binning_data.json,2e782dfb-6ee2-9ec0-515e-0ff6d12e5140,,
21313,,1594277999000,UTC+0900,125.0,1,,1594277999000,87.0,xUcHHNl7co,1594274400000,com.sec.android.app.shealth,1594277999000,74.0,03320b22-972f-d21c-0909-101b54c4e8b0.com.samsung.health.heart_rate.binning_data.json,03320b22-972f-d21c-0909-101b54c4e8b0,,
21301,,1594563509000,UTC+0900,72.0,1,,1594563509000,72.0,xUcHHNl7co,1594563509000,com.sec.android.app.shealth,1594563509000,72.0,,0ad609a5-40c2-d765-6ef9-13c90ccf5d13,,
21301,,1594566604000,UTC+0900,75.0,1,,1594566604000,75.0,xUcHHNl7co,1594566604000,com.sec.android.app.shealth,1594566604000,75.0,,95ceb852-d961-0545-ea3f-fa81ee68434a,,
21301,,1594522236000,UTC+0900,78.0,1,,1594522236000,78.0,xUcHHNl7co,1594522236000,com.sec.android.app.shealth,1594522236000,78.0,,9bc761ac-829e-b80b-2f79-06eefed3594d,,
21301,,1594569698000,UTC+0900,77.0,1,,1594569698000,77.0,xUcHHNl7co,1594569698000,com.sec.android.app.shealth,1594569698000,77.0,,5a811f0a-1c8f-7892-24fc-1b6d512673cb,,
21313,,1594529520000,UTC+0900,147.0,1,,1594529999000,107.0,xUcHHNl7co,1594526400000,com.sec.android.app.shealth,1594529999000,79.0,298754fe-6a4b-4a6c-650f-e9117b60b790.com.samsung.health.heart_rate.binning_data.json,298754fe-6a4b-4a6c-650f-e9117b60b790,,
21313,,1594534740000,UTC+0900,107.0,1,,1594537199000,81.0,xUcHHNl7co,1594534560000,com.sec.android.app.shealth,1594537199000,63.0,0f1cff0d-63a6-206f-1df4-ebcb98b3d895.com.samsung.health.heart_rate.binning_data.json,0f1cff0d-63a6-206f-1df4-ebcb98b3d895,,
21301,,1594541383000,UTC+0900,72.0,1,,1594541383000,72.0,xUcHHNl7co,1594541383000,com.sec.android.app.shealth,1594541383000,72.0,,34458c15-7406-ae94-2a6b-cb9699ed4945,,
