com.samsung.shealth.tracker.pedometer_event,6105031,1
start_time,pkg_name,update_time,create_time,time_offset,datauuid,end_time,type,healthy_step,deviceuuid
2020-06-16 10:53:10.024,com.sec.android.app.shealth,2020-06-16 11:04:55.087,2020-06-16 11:03:32.762,UTC+0900,d28e547f-09d7-4929-8327-01d81f9e7315,2020-06-16 11:04:29.727,1,1128,CHxXcBbd2u,
2020-06-17 08:39:10.903,com.sec.android.app.shealth,2020-06-17 08:50:12.269,2020-06-17 08:49:26.824,UTC+0900,8d1c2dc1-83e5-4709-985f-29a3905da484,2020-06-17 08:50:08.462,1,838,CHxXcBbd2u,
2020-06-17 08:50:18.516,com.sec.android.app.shealth,2020-06-17 08:51:47.824,2020-06-17 08:50:38.945,UTC+0900,be9d9aca-5df1-48bf-a1b3-8918a5ef521a,2020-06-17 08:51:37.229,1,47,CHxXcBbd2u,
2020-06-19 03:51:34.650,com.sec.android.app.shealth,2020-06-19 04:02:15.208,2020-06-19 04:01:43.538,UTC+0900,017d0c3a-32d6-4417-94e0-d422e1360637,2020-06-19 04:02:12.240,1,991,CHxXcBbd2u,
2020-06-18 23:36:41.976,com.sec.android.app.shealth,2020-06-18 23:48:01.393,2020-06-18 23:46:44.336,UTC+0900,8e42e8c3-39fa-42c1-9a23-8240afdeef59,2020-06-18 23:47:58.729,1,1033,CHxXcBbd2u,
2020-06-19 04:33:14.143,com.sec.android.app.shealth,2020-06-19 04:55:41.202,2020-06-19 04:43:15.826,UTC+0900,a82f2d42-f4c8-436f-9f34-1ad8de1b73c0,2020-06-19 04:55:38.093,1,2142,CHxXcBbd2u,
2020-06-20 13:09:51.466,com.sec.android.app.shealth,2020-06-20 13:21:50.777,2020-06-20 13:20:02.824,UTC+0900,f005fc76-b800-4569-98af-ce19189d6c6d,2020-06-20 13:20:51.512,1,1022,CHxXcBbd2u,
2020-06-22 10:06:22.267,com.sec.android.app.shealth,2020-06-22 10:16:34.436,2020-06-22 10:16:23.480,UTC+0900,45bdb7be-6581-4a76-98d3-33a20b009c1b,2020-06-22 10:16:32.739,1,1087,CHxXcBbd2u,
2020-06-23 10:56:22.083,com.sec.android.app.shealth,2020-06-23 11:08:10.811,2020-06-23 11:06:27.864,UTC+0900,eee13f40-9efd-4499-bdf1-6dd97eb85b15,2020-06-23 11:07:22.181,1,1165,CHxXcBbd2u,
2020-06-25 23:47:00.831,com.sec.android.app.shealth,2020-06-25 23:47:18.877,2020-06-25 23:47:18.877,UTC+0900,7468ca88-64ea-4a08-a3e3-dcd95a6bba28,2020-06-25 23:47:18.103,1,18,CHxXcBbd2u,
2020-06-25 23:47:28.157,com.sec.android.app.shealth,2020-06-25 23:49:36.927,2020-06-25 23:49:36.927,UTC+0900,c302e37f-4b23-41c6-a9e7-e2664e73d4a6,2020-06-25 23:49:28.241,1,113,CHxXcBbd2u,
2020-06-25 23:36:50.761,com.sec.android.app.shealth,2020-06-25 23:46:52.944,2020-06-25 23:46:52.858,UTC+0900,9d1653c8-d948-4ecf-9600-a22c010d466a,2020-06-25 23:46:50.777,1,1085,CHxXcBbd2u,
2020-06-17 10:49:34.832,com.sec.android.app.shealth,2020-06-17 11:00:33.017,2020-06-17 10:59:37.816,UTC+0900,73005f81-c010-45ff-9a67-2117741141ed,2020-06-17 11:00:30.195,1,1075,CHxXcBbd2u,
2020-06-28 04:01:09.019,com.sec.android.app.shealth,2020-06-28 04:02:31.079,2020-06-28 04:01:19.599,UTC+0900,223dbf7f-ae78-4a98-a803-7b615c16c1fe,2020-06-28 04:02:19.097,1,32,CHxXcBbd2u,
2020-06-29 10:55:24.635,com.sec.android.app.shealth,2020-06-29 11:10:26.095,2020-06-29 11:05:26.088,UTC+0900,5924bbd3-f657-496f-a581-7d261963edf4,2020-06-29 11:09:24.832,1,1257,CHxXcBbd2u,
2020-06-28 03:58:01.996,com.sec.android.app.shealth,2020-06-28 04:00:45.238,2020-06-28 03:58:16.345,UTC+0900,996b142f-4bbf-4b7a-a075-7267176f9a73,2020-06-28 04:00:37.592,1,67,CHxXcBbd2u,
2020-06-19 04:55:58.172,com.sec.android.app.shealth,2020-06-19 04:56:11.745,2020-06-19 04:56:11.745,UTC+0900,34263598-d38b-4411-b80c-9e5de5d51cf9,2020-06-19 04:56:11.143,1,6,CHxXcBbd2u,
2020-07-01 10:53:53.035,com.sec.android.app.shealth,2020-07-01 10:55:22.403,2020-07-01 10:55:22.403,UTC+0900,4e37b823-c883-4179-a58a-81c10f67a7fa,2020-07-01 10:54:53.069,1,9,CHxXcBbd2u,
2020-07-01 23:34:13.384,com.sec.android.app.shealth,2020-07-01 23:46:50.402,2020-07-01 23:44:20.607,UTC+0900,92e79612-ca18-49d6-8512-ba1de2a0c5f8,2020-07-01 23:45:19.428,1,1054,CHxXcBbd2u,
2020-07-01 10:52:03.095,com.sec.android.app.shealth,2020-07-01 10:53:24.687,2020-07-01 10:53:24.687,UTC+0900,2d3b267e-a237-4db0-8c55-4750206442e0,2020-07-01 10:53:22.914,1,100,CHxXcBbd2u,
2020-06-23 23:44:20.179,com.sec.android.app.shealth,2020-06-23 23:55:02.353,2020-06-23 23:54:33.860,UTC+0900,7991ac2d-cba0-4a45-9026-d9f5055fc979,2020-06-23 23:54:59.304,1,1065,CHxXcBbd2u,
2020-07-02 23:37:17.275,com.sec.android.app.shealth,2020-07-02 23:50:04.102,2020-07-02 23:47:49.105,UTC+0900,c7794312-ce7d-4b90-94fd-85008f8b0c3e,2020-07-02 23:49:43.024,1,1135,CHxXcBbd2u,
2020-07-02 13:02:16.513,com.sec.android.app.shealth,2020-07-02 13:13:32.084,2020-07-02 13:12:26.128,UTC+0900,62b14c42-eb7e-4444-b0d7-79c75929dbf2,2020-07-02 13:13:16.851,1,978,CHxXcBbd2u,
2020-06-26 08:33:33.681,com.sec.android.app.shealth,2020-06-26 08:46:50.199,2020-06-26 08:43:34.831,UTC+0900,f8ed2c3e-e628-45a2-8ef2-b3e4124b9310,2020-06-26 08:46:33.788,1,1186,CHxXcBbd2u,
2020-07-06 10:45:40.672,com.sec.android.app.shealth,2020-07-06 10:57:09.294,2020-07-06 10:55:41.619,UTC+0900,5fdbf1a6-116c-4818-9add-7bdff090fbf3,2020-07-06 10:57:07.960,1,1144,CHxXcBbd2u,
2020-06-14 23:04:00.103,com.sec.android.app.shealth,2020-06-14 23:16:29.075,2020-06-14 23:14:07.993,UTC+0900,ba8ebcb1-3e4b-4bce-9cc2-491040df80d5,2020-06-14 23:16:07.119,1,1010,CHxXcBbd2u,
2020-07-05 13:18:44.469,com.sec.android.app.shealth,2020-07-05 13:20:26.257,2020-07-05 13:19:00.582,UTC+0900,2ab4b73e-de2c-4e49-bd5d-27ca483a5a05,2020-07-05 13:20:23.732,1,56,CHxXcBbd2u,
2020-07-07 23:39:28.664,com.sec.android.app.shealth,2020-07-07 23:50:52.341,2020-07-07 23:49:32.781,UTC+0900,3d86c856-162a-4f6a-abb5-ae916feb8740,2020-07-07 23:50:47.545,1,1074,CHxXcBbd2u,
2020-06-18 13:06:22.485,com.sec.android.app.shealth,2020-06-18 13:16:57.773,2020-06-18 13:16:39.845,UTC+0900,09c7a954-4022-4cd6-944c-b58a99a50cec,2020-06-18 13:16:56.010,1,937,CHxXcBbd2u,
2020-07-07 13:22:06.370,com.sec.android.app.shealth,2020-07-07 13:50:18.474,2020-07-07 13:32:07.614,UTC+0900,4df9d6b5-c859-490a-81bf-bb6157cce0b4,2020-07-07 13:50:14.046,1,2857,CHxXcBbd2u,
2020-06-20 10:08:05.628,com.sec.android.app.shealth,2020-06-20 10:35:17.956,2020-06-20 10:18:15.838,UTC+0900,9f4ff25f-1561-4c7e-a229-4c351f826e65,2020-06-20 10:34:02.568,1,2851,CHxXcBbd2u,
2020-07-10 04:12:49.078,com.sec.android.app.shealth,2020-07-10 04:24:44.083,2020-07-10 04:23:24.095,UTC+0900,170486b6-845f-41a5-a765-b7a2b0275c72,2020-07-10 04:24:20.413,1,918,CHxXcBbd2u,
2020-07-09 23:39:26.024,com.sec.android.app.shealth,2020-07-09 23:54:25.086,2020-07-09 23:49:40.086,UTC+0900,05ce9f2d-c6cc-46a2-8f11-b68388dd8b67,2020-07-09 23:53:59.318,1,1312,CHxXcBbd2u,
2020-06-29 11:33:03.061,com.sec.android.app.shealth,2020-06-29 11:44:25.905,2020-06-29 11:43:05.024,UTC+0900,de3dccda-0ff5-477b-8bc0-b104e32f4533,2020-06-29 11:44:19.981,1,1091,CHxXcBbd2u,
2020-07-11 15:43:28.145,com.sec.android.app.shealth,2020-07-11 15:43:43.502,2020-07-11 15:43:43.502,UTC+0900,661fa074-c57b-48f7-a2e3-b4e230b2b827,2020-07-11 15:43:38.183,1,7,CHxXcBbd2u,
2020-07-11 15:41:56.942,com.sec.android.app.shealth,2020-07-11 15:43:01.277,2020-07-11 15:42:29.584,UTC+0900,576dd262-79ad-49f7-8176-2df2cf2dcc4a,2020-07-11 15:42:58.038,1,79,CHxXcBbd2u,
2020-06-24 10:56:27.885,com.sec.android.app.shealth,2020-06-24 11:07:35.818,2020-06-24 11:06:29.878,UTC+0900,207f5f43-5890-4eed-8f6b-1c7062aa06d6,2020-06-24 11:07:27.942,1,1136,CHxXcBbd2u,
2020-07-13 10:46:53.154,com.sec.android.app.shealth,2020-07-13 10:59:31.506,2020-07-13 10:56:54.471,UTC+0900,9475043e-d304-4cf8-b2d9-f670c153fd59,2020-07-13 10:58:53.246,1,1244,CHxXcBbd2u,
2020-06-18 13:17:26.109,com.sec.android.app.shealth,2020-06-18 13:18:17.241,2020-06-18 13:18:17.241,UTC+0900,42863674-792b-4cc6-b6d9-4dfb9e090b62,2020-06-18 13:18:14.550,1,7,CHxXcBbd2u,
2020-07-13 04:04:31.000,com.sec.android.app.shealth,2020-07-13 04:17:54.000,2020-07-13 04:17:54.000,UTC+0900,05f73b71-aaf7-4724-1c45-93aa74319cac,2020-07-13 04:17:54.000,1,1113,xUcHHNl7co,
2020-07-03 10:54:59.875,com.sec.android.app.shealth,2020-07-03 11:10:18.838,2020-07-03 11:05:14.093,UTC+0900,494dbaad-ec31-4494-9410-a8030049709e,2020-07-03 11:10:17.194,1,1669,CHxXcBbd2u,
2020-07-02 06:57:37.251,com.sec.android.app.shealth,2020-07-02 07:13:09.145,2020-07-02 07:08:07.496,UTC+0900,91a8e314-8a4c-45d6-8ff4-679f89b2239d,2020-07-02 07:12:37.477,1,1184,CHxXcBbd2u,
2020-06-28 03:39:41.038,com.sec.android.app.shealth,2020-06-28 03:53:07.492,2020-06-28 03:49:42.695,UTC+0900,3d1408cc-0307-46dd-8b7e-f4e8d7bf1062,2020-06-28 03:53:02.768,1,1522,CHxXcBbd2u,
2020-07-14 11:21:10.000,com.sec.android.app.shealth,2020-07-14 11:39:40.000,2020-07-14 11:39:40.000,UTC+0900,ef5ef5c8-cba2-f89c-fd02-065de3a2fc30,2020-07-14 11:39:40.000,1,1425,xUcHHNl7co,
2020-06-29 23:43:25.755,com.sec.android.app.shealth,2020-06-29 23:55:07.095,2020-06-29 23:53:27.860,UTC+0900,51b1c3c2-6a02-48c1-b87c-a3af21faea12,2020-06-29 23:54:25.796,1,1090,CHxXcBbd2u,
