com.samsung.shealth.sleep,6105031,2
efficiency,extra_data,original_efficiency,original_bed_time,has_sleep_data,original_wake_up_time,quality,com.samsung.health.sleep.start_time,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.datauuid,com.samsung.health.sleep.custom,com.samsung.health.sleep.end_time,com.samsung.health.sleep.comment,com.samsung.health.sleep.deviceuuid
76.12903,23923548-7193-3aa0-15a9-37beb54cc8e2.extra_data.json,,,0,,,1594658940000,com.sec.android.app.shealth,1594677540000,1594677540000,UTC+0900,23923548-7193-3aa0-15a9-37beb54cc8e2,,1594677540000,,xUcHHNl7co,
80.0,8cdf53ac-8c48-1cdf-0eee-876a3eff1847.extra_data.json,,,0,,,1594573620000,com.sec.android.app.shealth,1594588320000,1594588320000,UTC+0900,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,1594588320000,,xUcHHNl7co,
76.5625,e1940147-1145-fcce-6060-081739389a06.extra_data.json,,,0,,,1595088840000,com.sec.android.app.shealth,1595092680000,1595092680000,UTC+0900,e1940147-1145-fcce-6060-081739389a06,,1595092680000,,xUcHHNl7co,
95.34883,caf15991-a6b9-775e-1f7b-2717066dfcbd.extra_data.json,,,0,,,1595078100000,com.sec.android.app.shealth,1595083260000,1595083260000,UTC+0900,caf15991-a6b9-775e-1f7b-2717066dfcbd,,1595083260000,,xUcHHNl7co,
89.24419,873df786-ffa2-d4a2-d421-859b97ae4512.extra_data.json,,,0,,,1594916100000,com.sec.android.app.shealth,1594936740000,1594936740000,UTC+0900,873df786-ffa2-d4a2-d421-859b97ae4512,,1594936740000,,xUcHHNl7co,
87.19346,a8a191ff-ecfb-b4f2-988c-bd8762467288.extra_data.json,,,0,,,1594827900000,com.sec.android.app.shealth,1594849920000,1594849920000,UTC+0900,a8a191ff-ecfb-b4f2-988c-bd8762467288,,1594849920000,,xUcHHNl7co,
89.10891,c1342020-546f-7524-6996-60d5039c026a.extra_data.json,,,0,,,1594540620000,com.sec.android.app.shealth,1594546680000,1594546680000,UTC+0900,c1342020-546f-7524-6996-60d5039c026a,,1594546680000,,xUcHHNl7co,
99.44751,2d85f9ee-0f21-bf64-1de6-44cc33f00922.extra_data.json,,,0,,,1595111220000,com.sec.android.app.shealth,1595122080000,1595122080000,UTC+0900,2d85f9ee-0f21-bf64-1de6-44cc33f00922,,1595122080000,,xUcHHNl7co,
100.0,e16731e6-f629-85a5-8085-3d4737011349.extra_data.json,,,0,,,1595006280000,com.sec.android.app.shealth,1595012220000,1595012220000,UTC+0900,e16731e6-f629-85a5-8085-3d4737011349,,1595012220000,,xUcHHNl7co,
89.88764,29757812-14c4-4358-cad1-d9cbcc6893af.extra_data.json,,,0,,,1594745520000,com.sec.android.app.shealth,1594761540000,1594761540000,UTC+0900,29757812-14c4-4358-cad1-d9cbcc6893af,,1594761540000,,xUcHHNl7co,
94.230774,f91b8d7f-a4c2-bfa0-5da6-c26340d2dc12.extra_data.json,,,0,,,1595094900000,com.sec.android.app.shealth,1595107380000,1595107380000,UTC+0900,f91b8d7f-a4c2-bfa0-5da6-c26340d2dc12,,1595107380000,,xUcHHNl7co,
