com.samsung.shealth.tracker.pedometer_step_count,6105031,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
8195,0,4,19,1592346864124,14.9400015,UTC+0900,,19,1592346900000,1.8229506,CHxXcBbd2u,1592346840000,com.sec.android.app.shealth,1592346868852,9e62e09e-9524-4d6f-b18b-a609d58b656f,0.6099999,,
29698,0,4,61,1592347304014,50.16999,UTC+0900,,61,1592347320000,1.6893051,CHxXcBbd2u,1592347260000,com.sec.android.app.shealth,1592347426924,ad54eec9-89d4-4d5c-9408-126fa2d47bce,2.1899998,,
54495,0,4,107,1592347426966,92.34,UTC+0900,,119,1592347380000,1.6944444,CHxXcBbd2u,1592347320000,com.sec.android.app.shealth,1592347426966,e889b94e-5522-4768-b44a-d58ae2fdf891,3.67,,
60000,0,4,127,1592347426987,101.100075,UTC+0900,,127,1592347440000,1.6850013,CHxXcBbd2u,1592347380000,com.sec.android.app.shealth,1592347439802,59615882-e848-440c-8597-c3ec51082046,3.8199992,,
57488,0,4,121,1592347440683,96.39,UTC+0900,,121,1592347500000,1.6766967,CHxXcBbd2u,1592347440000,com.sec.android.app.shealth,1592347502329,b1ba72b4-53fe-4f0f-b743-872b62d97e6e,3.6499977,,
57890,0,4,124,1592347502349,99.619995,UTC+0900,,124,1592347560000,1.7208279,CHxXcBbd2u,1592347500000,com.sec.android.app.shealth,1592347719034,bc5b8751-29d3-4b8e-9f76-e455a2d94b56,3.8100002,,
54952,16,4,108,1592347719062,103.8,UTC+0900,,124,1592347620000,1.8888888,CHxXcBbd2u,1592347560000,com.sec.android.app.shealth,1592347719062,68811941-107c-40f3-b474-6aa73a0e638f,4.61,,
22151,0,4,47,1592347719079,36.92,UTC+0900,,47,1592347680000,1.6666666,CHxXcBbd2u,1592347620000,com.sec.android.app.shealth,1592347719079,632cf054-5291-4106-8e11-df5ff04fecde,1.5,,
29722,0,4,60,1592347719096,47.180004,UTC+0900,,60,1592347740000,1.5873283,CHxXcBbd2u,1592347680000,com.sec.android.app.shealth,1592347731349,89a2d161-a651-4ed0-a7b8-fa9da03de984,1.9099998,,
29404,0,4,55,1592348788740,42.77,UTC+0900,,55,1592348820000,1.4545482,CHxXcBbd2u,1592348760000,com.sec.android.app.shealth,1592348844753,4dc8bd74-ddea-4578-a337-2edcf45b538b,1.89,,
55226,0,4,102,1592348844764,95.71,UTC+0900,,125,1592348880000,1.7330378,CHxXcBbd2u,1592348820000,com.sec.android.app.shealth,1592348929578,17a8f07d-5e57-402e-910b-0d541c487984,4.09,,
50955,0,4,88,1592348929606,91.13999,UTC+0900,,120,1592348940000,1.7886158,CHxXcBbd2u,1592348880000,com.sec.android.app.shealth,1592348985119,402ceb54-38d4-40a1-9151-6caa615ffcaa,3.98,,
38057,0,4,35,1592348985131,68.85003,UTC+0900,,117,1592349000000,1.8090935,CHxXcBbd2u,1592348940000,com.sec.android.app.shealth,1592348999582,b5d06460-90cc-4fe9-a980-465c32829669,5.859998,,
29422,0,4,0,1592349000075,50.889977,UTC+0900,,127,1592349060000,1.7296389,CHxXcBbd2u,1592349000000,com.sec.android.app.shealth,1592349088404,f804f9b1-87f3-49d8-b2fd-c7a0eb98384d,10.160002,,
48291,0,4,66,1592349088424,83.65001,UTC+0900,,131,1592349120000,1.7321846,CHxXcBbd2u,1592349060000,com.sec.android.app.shealth,1592349126471,41548c66-de1b-4a57-b35e-53447351b781,6.4799995,,
43855,0,4,64,1592349126545,74.01,UTC+0900,,121,1592349180000,1.6875798,CHxXcBbd2u,1592349120000,com.sec.android.app.shealth,1592349191495,e6499844-6868-4beb-91a5-a649844bab2c,6.69,,
30921,0,4,56,1592349191511,55.230003,UTC+0900,,75,1592349240000,1.7861565,CHxXcBbd2u,1592349180000,com.sec.android.app.shealth,1592349222374,c8453f7e-5062-4358-8458-6bf08b337dc3,3.1499999,,
26184,0,4,55,1592349258966,43.35,UTC+0900,,55,1592349300000,1.655541,CHxXcBbd2u,1592349240000,com.sec.android.app.shealth,1592349301818,ec1e26a3-735c-471c-a778-f5ff42388d41,1.72,,
16818,0,4,31,1592351626938,24.76,UTC+0900,,32,1592351580000,1.4722222,CHxXcBbd2u,1592351520000,com.sec.android.app.shealth,1592351626938,9ac2ec91-7016-4293-8d09-63821bf338d2,1.08,,
0,0,4,1,1592351626967,0.0,UTC+0900,,0,1592351640000,0.0,CHxXcBbd2u,1592351580000,com.sec.android.app.shealth,1592351626967,a3bdf444-5712-4f1a-98a2-abede3779f9e,0.0,,
28513,0,4,55,1592361379926,42.62,UTC+0900,,55,1592361420000,1.4947156,CHxXcBbd2u,1592361360000,com.sec.android.app.shealth,1592361407484,4e91ec75-2303-4ada-96b6-aff01edc498a,1.8399996,,
3245,0,4,7,1592362514962,5.5,UTC+0900,,7,1592361480000,1.6944444,CHxXcBbd2u,1592361420000,com.sec.android.app.shealth,1592362514962,4e7d7e0a-0959-417c-bcf7-fbaecdcf68eb,0.24,,
31628,0,4,63,1592362515001,49.2,UTC+0900,,63,1592361540000,1.5555556,CHxXcBbd2u,1592361480000,com.sec.android.app.shealth,1592362515001,80d3aa9e-276f-441e-b513-54352d272f76,1.96,,
15732,0,4,33,1592362515031,26.22,UTC+0900,,33,1592361600000,1.6666666,CHxXcBbd2u,1592361540000,com.sec.android.app.shealth,1592362515031,79310b6a-fcaa-4a7d-882b-36d63cdba2b0,1.02,,
4533,0,4,9,1592364287601,6.8,UTC+0900,,9,1592364240000,1.5,CHxXcBbd2u,1592364180000,com.sec.android.app.shealth,1592364287601,ad43649d-a77d-494e-8fe8-b5db87cbe492,0.31,,
29687,1,4,48,1592364287641,38.829994,UTC+0900,,49,1592364300000,1.3079605,CHxXcBbd2u,1592364240000,com.sec.android.app.shealth,1592364313979,8bee2a23-8719-4d14-a8e2-77235534b560,2.1399996,,
41603,0,4,66,1592364534495,61.25,UTC+0900,,88,1592364360000,1.4722222,CHxXcBbd2u,1592364300000,com.sec.android.app.shealth,1592364534495,0811b969-4342-4806-a09a-9ac01fd6fe78,3.02,,
55555,0,4,89,1592364534543,81.79,UTC+0900,,117,1592364480000,1.4722222,CHxXcBbd2u,1592364420000,com.sec.android.app.shealth,1592364534543,597a878a-42e9-4997-bf00-1dd10c776205,3.71,,
56813,0,4,110,1592364534518,85.22,UTC+0900,,110,1592364420000,1.5,CHxXcBbd2u,1592364360000,com.sec.android.app.shealth,1592364534518,82c40dd2-ef3b-4d39-90b3-32f5135c8eff,3.59,,
49868,0,4,91,1592364534559,69.5,UTC+0900,,91,1592364540000,1.3936756,CHxXcBbd2u,1592364480000,com.sec.android.app.shealth,1592364905830,27d99a65-6260-4e7c-9e4f-fa7d107c54dd,3.3799999,,
60000,0,4,108,1592364905870,88.15,UTC+0900,,115,1592364600000,1.4691666,CHxXcBbd2u,1592364540000,com.sec.android.app.shealth,1592364905870,04087473-8f4f-40c7-b32f-3349a74fcc9d,4.07,,
28119,0,4,55,1592364905898,42.96,UTC+0900,,55,1592364660000,1.5277778,CHxXcBbd2u,1592364600000,com.sec.android.app.shealth,1592364905898,4c7290cb-1968-47c4-afac-0f8cfb0980ff,1.77,,
5866,0,4,15,1592364905934,12.71,UTC+0900,,15,1592364720000,2.1666667,CHxXcBbd2u,1592364660000,com.sec.android.app.shealth,1592364905934,d0416ae8-18cd-4c54-8408-faf299df0669,0.51,,
16680,0,4,34,1592364905971,27.8,UTC+0900,,34,1592364780000,1.6666666,CHxXcBbd2u,1592364720000,com.sec.android.app.shealth,1592364905971,e9660478-d245-4cf6-a85a-36e73a3dd040,1.11,,
