com.samsung.health.exercise,1140029,14
count_type,update_time,decline_distance,end_time,additional,max_rpm,pkg_name,mean_cadence,custom,duration,comment,mean_power,location_data,mean_caloricburn_rate,create_time,altitude_loss,mean_rpm,distance,max_power,count,max_cadence,altitude_gain,max_altitude,exercise_custom_type,vo2_max,datauuid,max_caloricburn_rate,max_heart_rate,mean_speed,max_speed,start_time,calorie,mean_heart_rate,live_data,min_heart_rate,min_altitude,incline_distance,exercise_type,deviceuuid,time_offset
30001,2020. 07. 09. 오후 4:13:13,3836.000000,2020. 07. 09. 오후 4:04:43,,,com.sec.android.app.shealth,,,15912971,,,df4b217f-520c-45fc-93f0-b1f179f3dd5c.location_data,,2020. 07. 07. 오후 6:47:05,677.629395,,27190.000000,,16236,,567.960938,75.482597,,,df4b217f-520c-45fc-93f0-b1f179f3dd5c,,,1.709284,2.500000,2020. 07. 07. 오후 6:47:05,1838.000000,,df4b217f-520c-45fc-93f0-b1f179f3dd5c.live_data,,-13.767247,4059.000000,1001,sb+tNhfKEH,32400000,
30001,2020. 07. 08. 오후 8:11:26,,2020. 07. 08. 오후 8:10:24,,,com.sec.android.app.shealth,,,985215,,,fa21ba59-d95c-bd4b-dd63-45b69ba545be.location_data,,2020. 07. 08. 오후 8:11:26,,,1059.000000,,1547,,,,,,fa21ba59-d95c-bd4b-dd63-45b69ba545be,,,1.415850,2.138889,2020. 07. 08. 오후 7:53:59,0.000000,,fa21ba59-d95c-bd4b-dd63-45b69ba545be.live_data,,,,1001,Eb+lTn/Fs+,32400000,
,2020. 07. 09. 오후 4:11:52,,2020. 07. 08. 오후 11:21:36,,,com.sec.android.app.shealth,,,2546080,,,37da2681-7324-2b73-6fb4-8355cfd18165.location_data,,2020. 07. 08. 오후 11:21:38,,,,,,,,,,,37da2681-7324-2b73-6fb4-8355cfd18165,,168.000000,,,2020. 07. 08. 오후 10:39:06,183.449000,103.000000,37da2681-7324-2b73-6fb4-8355cfd18165.live_data,76.000000,,,0,Eb+lTn/Fs+,32400000,
30001,2020. 07. 09. 오후 8:00:53,,2020. 07. 09. 오후 7:59:50,,,com.sec.android.app.shealth,,,1324403,,,c1a59e70-e082-3ba9-7908-87b561581532.location_data,,2020. 07. 09. 오후 8:00:53,,,1408.220000,,1942,,,,,,c1a59e70-e082-3ba9-7908-87b561581532,,128.000000,1.360176,1.512856,2020. 07. 09. 오후 7:37:46,123.000000,105.000000,c1a59e70-e082-3ba9-7908-87b561581532.live_data,85.000000,,,1001,Eb+lTn/Fs+,32400000,
30001,2020. 07. 09. 오후 9:32:59,,2020. 07. 09. 오후 9:31:57,,,com.sec.android.app.shealth,,,2430012,,,c26a568b-b05d-097d-de7a-460b26da5f96.location_data,,2020. 07. 09. 오후 9:32:59,,,2944.083000,,3891,,,,,,c26a568b-b05d-097d-de7a-460b26da5f96,,123.000000,1.363183,1.724791,2020. 07. 09. 오후 8:51:27,277.000000,114.000000,c26a568b-b05d-097d-de7a-460b26da5f96.live_data,95.000000,,,1001,Eb+lTn/Fs+,32400000,
,2020. 07. 09. 오후 9:56:48,,2020. 07. 09. 오후 9:56:47,,,com.sec.android.app.shealth,,,891880,,,70d502fc-21d4-0259-ab99-33bd4d5d5ba8.location_data,,2020. 07. 09. 오후 9:56:48,,,2313.738000,,,,,-2.248379,,,70d502fc-21d4-0259-ab99-33bd4d5d5ba8,,130.000000,2.594226,4.995000,2020. 07. 09. 오후 9:41:49,106.638000,117.000000,70d502fc-21d4-0259-ab99-33bd4d5d5ba8.live_data,94.000000,-6.104222,,11007,Eb+lTn/Fs+,32400000,
30001,2020. 07. 10. 오전 9:19:34,,2020. 07. 10. 오전 9:18:32,,,com.sec.android.app.shealth,,,707339,,,6d47709b-4358-5ff0-9b5b-07d94cbe5bf3.location_data,,2020. 07. 10. 오전 9:19:34,,,813.069000,,1122,,,,,,6d47709b-4358-5ff0-9b5b-07d94cbe5bf3,,133.000000,1.499604,1.652405,2020. 07. 10. 오전 9:06:45,83.000000,124.000000,6d47709b-4358-5ff0-9b5b-07d94cbe5bf3.live_data,112.000000,,,1001,Eb+lTn/Fs+,32400000,
30001,2020. 07. 10. 오후 6:47:50,,2020. 07. 10. 오후 6:46:49,,,com.sec.android.app.shealth,,,634864,,,1665a1dc-1b0a-236d-db7e-0edb4241b836.location_data,,2020. 07. 10. 오후 6:47:50,,,713.339000,,1036,,,,,,1665a1dc-1b0a-236d-db7e-0edb4241b836,,132.000000,1.645934,2.205456,2020. 07. 10. 오후 6:36:14,68.000000,114.000000,1665a1dc-1b0a-236d-db7e-0edb4241b836.live_data,105.000000,,,1001,Eb+lTn/Fs+,32400000,
30001,2020. 07. 13. 오전 9:12:37,,2020. 07. 13. 오전 9:11:35,,,com.sec.android.app.shealth,,,981076,,,5b687225-ee15-e488-277c-ea3107615e8c.location_data,,2020. 07. 13. 오전 9:12:37,,,1053.470000,,1494,,,,,,5b687225-ee15-e488-277c-ea3107615e8c,,174.000000,1.511251,1.722222,2020. 07. 13. 오전 8:55:14,161.000000,142.000000,5b687225-ee15-e488-277c-ea3107615e8c.live_data,107.000000,,,1001,Eb+lTn/Fs+,32400000,
30001,2020. 07. 13. 오후 8:27:05,,2020. 07. 13. 오후 8:26:02,,,com.sec.android.app.shealth,,,868492,,,35c439f0-bace-6d1d-2b42-ce9f123d9b22.location_data,,2020. 07. 13. 오후 8:27:05,,,978.950000,,1304,,,,,,35c439f0-bace-6d1d-2b42-ce9f123d9b22,,129.000000,1.446147,1.611111,2020. 07. 13. 오후 8:11:34,96.000000,114.000000,35c439f0-bace-6d1d-2b42-ce9f123d9b22.live_data,88.000000,,,1001,Eb+lTn/Fs+,32400000,
