com.samsung.shealth.food_frequent,1140029,1
lunch_count,pkg_name,morningsnack_count,afternoonsnack_count,breakfast_count,food_info_id,eveningsnack_count,datauuid,deviceuuid,create_time,update_time,dinner_count
0.990000,com.sec.android.app.shealth,0.990000,0.990000,0.990000,0837A458-C6DF-422A-90DE-CB52732161AB,0.990000,87027668-13A6-4C5E-AD12-BD566DD6BA77,sb+tNhfKEH,2020. 07. 07. 오후 6:32:12,2020. 07. 07. 오후 6:32:12,0.990000,
0.950000,com.sec.android.app.shealth,0.950000,0.950000,0.950000,3B54EB9D-A1C9-4467-A20F-F96EE4429314,0.950000,4BDDED6A-F39D-40F6-B405-9058298A3F53,sb+tNhfKEH,2020. 07. 07. 오후 6:32:12,2020. 07. 07. 오후 6:32:12,0.950000,
0.910000,com.sec.android.app.shealth,0.910000,0.910000,0.910000,7B6F7326-A6DE-419B-B4F1-3C299625CF58,0.910000,3DBB2074-14C3-49AD-9AE6-21C850348F98,sb+tNhfKEH,2020. 07. 07. 오후 6:32:12,2020. 07. 07. 오후 6:32:12,0.910000,
0.870000,com.sec.android.app.shealth,0.870000,0.870000,0.870000,93127C3B-4EDA-4FA1-84D3-DF15F4B5166D,0.870000,E86A3FB9-3BE3-417A-A996-D0DC5AF6880C,sb+tNhfKEH,2020. 07. 07. 오후 6:32:12,2020. 07. 07. 오후 6:32:12,0.870000,
0.830000,com.sec.android.app.shealth,0.830000,0.830000,0.830000,DA11066D-0C91-4093-8A99-2718D8D85615,0.830000,AF305D87-F4EA-4E7A-AD8E-A927693708DC,sb+tNhfKEH,2020. 07. 07. 오후 6:32:12,2020. 07. 07. 오후 6:32:12,0.830000,
0.790000,com.sec.android.app.shealth,0.790000,0.790000,0.790000,8A9107C7-0FBD-4584-B822-B32D7B83F073,0.790000,8AB31014-CCDD-425D-8572-7DD5053DA096,sb+tNhfKEH,2020. 07. 07. 오후 6:32:12,2020. 07. 07. 오후 6:32:12,0.790000,
0.750000,com.sec.android.app.shealth,0.750000,0.750000,0.750000,F1489FD5-1D28-4AB3-9827-F6F4B019E373,0.750000,629247E8-849C-4DF3-A1DB-7A71C1B44770,sb+tNhfKEH,2020. 07. 07. 오후 6:32:12,2020. 07. 07. 오후 6:32:12,0.750000,
0.710000,com.sec.android.app.shealth,0.710000,0.710000,0.710000,A47DF656-7112-412A-9553-F5D299A4AC65,0.710000,06AB880D-12D4-427D-8471-F2EED5DD7E20,sb+tNhfKEH,2020. 07. 07. 오후 6:32:12,2020. 07. 07. 오후 6:32:12,0.710000,
0.670000,com.sec.android.app.shealth,0.670000,0.670000,0.670000,D9986642-7668-4F80-97E6-4C0ADB4DC33D,0.670000,766B49D1-ED7A-49FD-9005-D47210CB7B33,sb+tNhfKEH,2020. 07. 07. 오후 6:32:12,2020. 07. 07. 오후 6:32:12,0.670000,
0.630000,com.sec.android.app.shealth,0.630000,0.630000,0.630000,B6238BA3-0F2E-434D-8F23-7D54A9A7DF7E,0.630000,27D45352-31CB-458C-A682-F3547AFC55D0,sb+tNhfKEH,2020. 07. 07. 오후 6:32:12,2020. 07. 07. 오후 6:32:12,0.630000,
0.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,F9E14787-62B0-441E-AB3E-631DCB882CDC,0.000000,0D578863-E080-4C42-A4B8-BA256B816AE5,sb+tNhfKEH,2020. 07. 08. 오전 12:51:30,2020. 07. 08. 오전 12:51:30,1.000000,
0.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,2E76CF5B-4FD2-4853-BE45-BC67DD676DED,0.000000,675C348E-5699-42EA-9292-22568F63F4AC,sb+tNhfKEH,2020. 07. 08. 오전 12:51:30,2020. 07. 08. 오전 12:51:30,1.000000,

