com.samsung.health.floors_climbed,1140029,5
end_time,floor,pkg_name,custom,update_time,start_time,datauuid,time_offset,create_time,deviceuuid
2020. 07. 07. 오후 7:58:23,1.000000,com.sec.android.app.shealth,,2020. 07. 07. 오후 8:05:26,2020. 07. 07. 오후 7:57:59,03577387-71cc-6437-138c-41d56314141a,32400000,2020. 07. 07. 오후 8:05:26,Eb+lTn/Fs+,
2020. 07. 07. 오후 8:48:04,5.000000,com.sec.android.app.shealth,,2020. 07. 07. 오후 8:50:32,2020. 07. 07. 오후 8:47:14,98473afd-5c59-f54e-61ee-616547b0f966,32400000,2020. 07. 07. 오후 8:47:47,Eb+lTn/Fs+,
2020. 07. 07. 오후 9:01:43,3.000000,com.sec.android.app.shealth,,2020. 07. 07. 오후 9:01:49,2020. 07. 07. 오후 9:00:48,1f33d420-a75d-dc8e-6294-f158ccd46a03,32400000,2020. 07. 07. 오후 9:01:49,Eb+lTn/Fs+,
2020. 07. 07. 오후 11:48:38,3.000000,com.sec.android.app.shealth,,2020. 07. 07. 오후 11:52:47,2020. 07. 07. 오후 11:47:20,9957f291-88ea-0247-bb10-c8a3c9e3087d,32400000,2020. 07. 07. 오후 11:52:47,Eb+lTn/Fs+,
2020. 07. 07. 오후 11:59:23,1.000000,com.sec.android.app.shealth,,2020. 07. 08. 오전 12:06:39,2020. 07. 07. 오후 11:59:10,f4fd488b-5efd-07ab-920b-9425ab8a3776,32400000,2020. 07. 08. 오전 12:06:39,Eb+lTn/Fs+,
2020. 07. 08. 오전 7:36:19,2.000000,com.sec.android.app.shealth,,2020. 07. 08. 오전 7:38:34,2020. 07. 08. 오전 7:36:10,5cd58cfe-8de6-039c-a0c2-01a4d0fbdc01,32400000,2020. 07. 08. 오전 7:38:34,Eb+lTn/Fs+,
2020. 07. 08. 오전 7:39:59,3.000000,com.sec.android.app.shealth,,2020. 07. 08. 오전 7:43:20,2020. 07. 08. 오전 7:39:18,692cdae3-4569-bdad-2b48-a0280ade7fea,32400000,2020. 07. 08. 오전 7:43:19,Eb+lTn/Fs+,
2020. 07. 08. 오전 7:59:57,1.000000,com.sec.android.app.shealth,,2020. 07. 08. 오전 8:00:09,2020. 07. 08. 오전 7:59:42,35e8819d-aed1-d788-9949-198c2897cb30,32400000,2020. 07. 08. 오전 7:59:55,Eb+lTn/Fs+,
2020. 07. 08. 오전 8:04:34,2.000000,com.sec.android.app.shealth,,2020. 07. 08. 오전 8:04:55,2020. 07. 08. 오전 8:04:15,41724374-add8-08ad-fef3-41299963b666,32400000,2020. 07. 08. 오전 8:04:55,Eb+lTn/Fs+,
2020. 07. 08. 오전 8:16:01,1.000000,com.sec.android.app.shealth,,2020. 07. 08. 오전 8:32:05,2020. 07. 08. 오전 8:15:38,4c60baf5-bbb6-f78d-f1a8-1b3c8b9708e4,32400000,2020. 07. 08. 오전 8:32:05,Eb+lTn/Fs+,
2020. 07. 08. 오전 8:56:33,5.000000,com.sec.android.app.shealth,,2020. 07. 08. 오전 8:56:54,2020. 07. 08. 오전 8:54:58,eabd99cd-e80c-c822-2f7a-45d20271f5e3,32400000,2020. 07. 08. 오전 8:56:07,Eb+lTn/Fs+,
2020. 07. 08. 오전 8:59:07,2.000000,com.sec.android.app.shealth,,2020. 07. 08. 오전 9:00:27,2020. 07. 08. 오전 8:58:14,6ecdf389-d19e-fac4-f069-015995b2500f,32400000,2020. 07. 08. 오전 9:00:27,Eb+lTn/Fs+,
2020. 07. 08. 오전 9:05:36,4.000000,com.sec.android.app.shealth,,2020. 07. 08. 오전 9:06:02,2020. 07. 08. 오전 9:03:33,ecf6d5c3-11f6-8164-2e38-6ec30eac0476,32400000,2020. 07. 08. 오전 9:05:13,Eb+lTn/Fs+,
2020. 07. 08. 오후 1:26:56,1.000000,com.sec.android.app.shealth,,2020. 07. 08. 오후 1:27:20,2020. 07. 08. 오후 1:26:18,da26634c-9c70-8a57-b5aa-eb0268bde392,32400000,2020. 07. 08. 오후 1:27:20,Eb+lTn/Fs+,
2020. 07. 08. 오후 8:09:45,1.000000,com.sec.android.app.shealth,,2020. 07. 08. 오후 8:11:29,2020. 07. 08. 오후 8:09:35,1203c71b-e245-1f69-6123-c7f2580c23f8,32400000,2020. 07. 08. 오후 8:11:29,Eb+lTn/Fs+,
2020. 07. 08. 오후 9:32:44,2.000000,com.sec.android.app.shealth,,2020. 07. 08. 오후 9:32:44,2020. 07. 08. 오후 9:32:44,ae58e50a-7429-95f5-ee79-4d52ed2612ae,32400000,2020. 07. 08. 오후 9:32:44,Eb+lTn/Fs+,
2020. 07. 09. 오전 7:40:07,3.000000,com.sec.android.app.shealth,,2020. 07. 09. 오전 7:41:05,2020. 07. 09. 오전 7:39:37,563bfe0a-1c79-cea2-7633-46bb1635ab65,32400000,2020. 07. 09. 오전 7:39:58,Eb+lTn/Fs+,
2020. 07. 09. 오전 8:01:20,3.000000,com.sec.android.app.shealth,,2020. 07. 09. 오전 8:02:31,2020. 07. 09. 오전 8:00:21,19caafff-f5ef-da5c-3958-8d93983df04f,32400000,2020. 07. 09. 오전 8:00:46,Eb+lTn/Fs+,
2020. 07. 09. 오전 8:04:15,1.000000,com.sec.android.app.shealth,,2020. 07. 09. 오전 8:05:04,2020. 07. 09. 오전 8:04:07,a73957f8-dc3c-ccc3-c045-364ff6c8dedc,32400000,2020. 07. 09. 오전 8:05:04,Eb+lTn/Fs+,
2020. 07. 09. 오전 8:43:49,7.000000,com.sec.android.app.shealth,,2020. 07. 09. 오전 8:44:01,2020. 07. 09. 오전 8:40:59,ed68f8da-03b4-f09c-f3b7-2fe44402e2b9,32400000,2020. 07. 09. 오전 8:44:01,Eb+lTn/Fs+,
2020. 07. 09. 오전 8:47:53,7.000000,com.sec.android.app.shealth,,2020. 07. 09. 오전 8:49:08,2020. 07. 09. 오전 8:45:06,6db7f8e8-17dc-13b6-6d33-8c3c9354e557,32400000,2020. 07. 09. 오전 8:49:08,Eb+lTn/Fs+,
2020. 07. 09. 오전 8:55:42,1.000000,com.sec.android.app.shealth,,2020. 07. 09. 오전 8:56:22,2020. 07. 09. 오전 8:55:17,fa321b17-5e67-d9ab-962b-61b184ac9c93,32400000,2020. 07. 09. 오전 8:56:22,Eb+lTn/Fs+,
2020. 07. 09. 오후 12:51:00,1.000000,com.sec.android.app.shealth,,2020. 07. 09. 오후 12:52:32,2020. 07. 09. 오후 12:50:37,eb9960b9-27ff-ec78-e3ac-85544c753c57,32400000,2020. 07. 09. 오후 12:52:32,Eb+lTn/Fs+,
2020. 07. 09. 오후 2:42:40,1.000000,com.sec.android.app.shealth,,2020. 07. 09. 오후 2:43:07,2020. 07. 09. 오후 2:42:16,fb683ef0-228d-a674-4fab-08e9eb641100,32400000,2020. 07. 09. 오후 2:43:07,Eb+lTn/Fs+,
2020. 07. 09. 오후 5:20:21,1.000000,com.sec.android.app.shealth,,2020. 07. 09. 오후 5:30:51,2020. 07. 09. 오후 5:20:01,c148a4ce-d323-d59e-9791-cee10e17e8ec,32400000,2020. 07. 09. 오후 5:30:51,Eb+lTn/Fs+,
