com.samsung.health.sleep_stage,1140029,6
end_time,custom,pkg_name,sleep_id,update_time,start_time,datauuid,time_offset,create_time,deviceuuid,stage
2020. 07. 08. 오전 1:34:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 1:29:00,dfa07849-85b2-e894-bc06-3380c7624ca5,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 1:54:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 1:34:00,6af984b7-b4b8-646f-94ed-7dca18088357,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40003,
2020. 07. 08. 오전 2:12:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 1:54:00,756c5c63-04c0-ac94-8017-addeb7537464,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 2:29:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 2:12:00,b21d9d6e-8717-9227-e536-0a37bec59dfc,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40003,
2020. 07. 08. 오전 2:36:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 2:29:00,750fd946-5e76-1185-87b2-30be9c7d5045,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 2:41:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 2:36:00,8a7dd9f0-1778-72b2-4bfa-ca88dec1a7fd,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40004,
2020. 07. 08. 오전 2:46:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 2:41:00,816f7335-ce8a-fe17-8005-ea0fb44d33b7,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 2:49:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 2:46:00,d4bfca8e-e4f8-ea4a-a8e9-a9f41ef7bc45,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
2020. 07. 08. 오전 2:50:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 2:49:00,44ee821e-5970-3c34-a7f3-6b3244bbe014,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40001,
2020. 07. 08. 오전 2:51:00,,com.sec.android.app.shealth,25d0c752-a13b-e059-bdda-0b08ab05e535,2020. 07. 08. 오전 6:31:27,2020. 07. 08. 오전 2:50:00,b5417e28-aa49-7e07-eeb5-bd5ff645aa73,32400000,2020. 07. 08. 오전 6:31:27,Eb+lTn/Fs+,40002,
