com.samsung.health.step_count,1140029,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
0.713615,com.sec.android.app.shealth,10,,32400000,2020. 07. 07. 오후 6:45:00,0.379357,sb+tNhfKEH,,2020. 07. 07. 오후 6:46:00,15941151-0000-0000-0000-941151000000,7.100000,2020. 07. 07. 오후 6:46:28,2020. 07. 07. 오후 6:46:28,
1.143671,com.sec.android.app.shealth,17,,32400000,2020. 07. 07. 오후 6:47:00,0.617404,sb+tNhfKEH,,2020. 07. 07. 오후 6:48:00,15941152-0000-0000-0000-941152200000,12.750000,2020. 07. 07. 오후 6:47:20,2020. 07. 07. 오후 6:47:20,
1.608435,com.sec.android.app.shealth,41,,32400000,2020. 07. 07. 오후 7:51:00,1.424649,sb+tNhfKEH,,2020. 07. 07. 오후 7:52:00,15941190-0000-0000-0000-941190600000,33.167881,2020. 07. 07. 오후 7:51:47,2020. 07. 07. 오후 7:51:47,
1.140566,com.sec.android.app.shealth,63,,32400000,2020. 07. 07. 오후 7:52:00,2.072989,sb+tNhfKEH,,2020. 07. 07. 오후 7:53:00,15941191-0000-0000-0000-941191200000,42.660000,2020. 07. 07. 오후 7:52:40,2020. 07. 07. 오후 7:52:40,
0.536293,com.sec.android.app.shealth,26,,32400000,2020. 07. 07. 오후 7:53:00,1.382739,sb+tNhfKEH,,2020. 07. 07. 오후 7:54:00,15941191-0000-0000-0000-941191800000,20.729147,2020. 07. 07. 오후 7:54:00,2020. 07. 07. 오후 7:54:00,
1.249245,com.sec.android.app.shealth,96,,32400000,2020. 07. 07. 오후 7:54:00,3.513968,sb+tNhfKEH,,2020. 07. 07. 오후 7:55:00,15941192-0000-0000-0000-941192400000,74.047295,2020. 07. 07. 오후 7:55:01,2020. 07. 07. 오후 7:55:01,
1.019982,com.sec.android.app.shealth,111,,32400000,2020. 07. 07. 오후 7:55:00,3.126464,sb+tNhfKEH,,2020. 07. 07. 오후 7:56:00,15941193-0000-0000-0000-941193000000,61.559368,2020. 07. 07. 오후 7:56:02,2020. 07. 07. 오후 7:56:02,
0.885592,com.sec.android.app.shealth,105,,32400000,2020. 07. 07. 오후 7:56:00,2.912144,sb+tNhfKEH,,2020. 07. 07. 오후 7:57:00,15941193-0000-0000-0000-941193600000,54.490192,2020. 07. 07. 오후 7:57:01,2020. 07. 07. 오후 7:57:01,
1.610874,com.sec.android.app.shealth,120,,32400000,2020. 07. 07. 오후 7:57:00,4.278704,sb+tNhfKEH,,2020. 07. 07. 오후 7:58:00,15941194-0000-0000-0000-941194200000,96.846664,2020. 07. 07. 오후 7:58:03,2020. 07. 07. 오후 7:58:03,
2.541178,com.sec.android.app.shealth,130,,32400000,2020. 07. 07. 오후 7:58:00,4.772692,sb+tNhfKEH,,2020. 07. 07. 오후 7:59:00,15941194-0000-0000-0000-941194800000,119.986137,2020. 07. 07. 오후 7:58:49,2020. 07. 07. 오후 7:58:49,
