com.samsung.shealth.stress,1140029,7
update_time,pkg_name,time_offset,binning_data,max,start_time,comment,tag_id,deviceuuid,custom,end_time,datauuid,create_time,score,algorithm,min
2020. 07. 09. 오후 5:07:18,com.sec.android.app.shealth,32400000,a68499d2-d283-1a3d-3a30-c0b65a7c42f5.binning_data,99.000000,2020. 07. 09. 오후 4:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 09. 오후 4:59:59,a68499d2-d283-1a3d-3a30-c0b65a7c42f5,2020. 07. 09. 오후 5:07:18,27.000000,1,0.000000,
2020. 07. 09. 오후 6:05:13,com.sec.android.app.shealth,32400000,574a179a-b3ed-e20d-fe14-9b15c2e77f89.binning_data,100.000000,2020. 07. 09. 오후 5:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 09. 오후 5:59:59,574a179a-b3ed-e20d-fe14-9b15c2e77f89,2020. 07. 09. 오후 6:05:13,19.000000,1,0.000000,
2020. 07. 09. 오후 7:03:06,com.sec.android.app.shealth,32400000,40190bbd-3b21-f20f-c4ca-540dedad83b7.binning_data,100.000000,2020. 07. 09. 오후 6:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 09. 오후 6:59:59,40190bbd-3b21-f20f-c4ca-540dedad83b7,2020. 07. 09. 오후 7:03:06,2.000000,1,0.000000,
2020. 07. 09. 오후 8:03:17,com.sec.android.app.shealth,32400000,8670f9ee-b139-2087-0a46-4b37b106a9dc.binning_data,100.000000,2020. 07. 09. 오후 7:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 09. 오후 7:59:59,8670f9ee-b139-2087-0a46-4b37b106a9dc,2020. 07. 09. 오후 8:03:17,11.000000,1,0.000000,
2020. 07. 09. 오후 9:09:34,com.sec.android.app.shealth,32400000,3f307443-794a-42dd-5fcc-6d871b6b54ff.binning_data,100.000000,2020. 07. 09. 오후 8:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 09. 오후 8:59:59,3f307443-794a-42dd-5fcc-6d871b6b54ff,2020. 07. 09. 오후 9:09:34,52.000000,1,0.000000,
2020. 07. 09. 오후 10:06:54,com.sec.android.app.shealth,32400000,920528d7-5661-884a-0404-f7994fb15816.binning_data,22.000000,2020. 07. 09. 오후 9:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 09. 오후 9:59:59,920528d7-5661-884a-0404-f7994fb15816,2020. 07. 09. 오후 10:06:54,17.000000,1,14.000000,
2020. 07. 09. 오후 11:07:09,com.sec.android.app.shealth,32400000,8c68f7d0-5493-4946-a798-ee109928282c.binning_data,89.000000,2020. 07. 09. 오후 10:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 09. 오후 10:59:59,8c68f7d0-5493-4946-a798-ee109928282c,2020. 07. 09. 오후 11:07:09,11.000000,1,0.000000,
2020. 07. 10. 오전 7:15:25,com.sec.android.app.shealth,32400000,12b0cae6-9dc7-5e39-8250-01592c804e3d.binning_data,100.000000,2020. 07. 09. 오후 11:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 09. 오후 11:59:59,12b0cae6-9dc7-5e39-8250-01592c804e3d,2020. 07. 10. 오전 7:15:25,30.000000,1,0.000000,
2020. 07. 10. 오전 8:09:27,com.sec.android.app.shealth,32400000,d952a0c5-84b5-b27f-db57-b579eccbd04b.binning_data,100.000000,2020. 07. 10. 오전 7:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 10. 오전 7:59:59,d952a0c5-84b5-b27f-db57-b579eccbd04b,2020. 07. 10. 오전 8:09:27,44.000000,1,0.000000,
2020. 07. 10. 오전 9:09:42,com.sec.android.app.shealth,32400000,23cf9ae5-a7fd-576e-7bbd-05f16177d7ed.binning_data,100.000000,2020. 07. 10. 오전 8:00:00,,10011,Eb+lTn/Fs+,,2020. 07. 10. 오전 8:59:59,23cf9ae5-a7fd-576e-7bbd-05f16177d7ed,2020. 07. 10. 오전 9:09:42,26.000000,1,0.000000,
