regionid,productgroup,yearweek,volume,REGIONID,PRODUCTGROUP,YEARWEEK,VOLUME
A01,ST0001,201415.0,810144.0,,,,
A01,ST0001,201418.0,671464.0,,,,
A01,ST0001,201413.0,470040.0,,,,
A01,ST0001,201411.0,524787.0,,,,
A01,ST0001,201416.0,764927.0,,,,
A01,ST0001,201419.0,682757.0,,,,
A01,ST0001,201414.0,428195.0,,,,
A01,ST0001,201412.0,486509.0,,,,
A01,ST0001,201417.0,697502.0,,,,
A01,ST0001,201407.0,620392.0,,,,
A01,ST0001,201410.0,511679.0,,,,
A01,ST0001,201402.0,438251.0,,,,
A01,ST0001,201405.0,482381.0,,,,
A01,ST0001,201408.0,571781.0,,,,
A01,ST0001,201403.0,420290.0,,,,
A01,ST0001,201406.0,570412.0,,,,
A01,ST0001,201409.0,569545.0,,,,
A01,ST0001,201401.0,513598.0,,,,
A01,ST0001,201404.0,458431.0,,,,
A01,ST0001,201438.0,693449.0,,,,
A01,ST0001,201433.0,679332.0,,,,
A01,ST0001,201441.0,624735.0,,,,
A01,ST0001,201436.0,826981.0,,,,
A01,ST0001,201439.0,636169.0,,,,
A01,ST0001,201434.0,846123.0,,,,
A01,ST0001,201432.0,677509.0,,,,
A01,ST0001,201437.0,717281.0,,,,
A01,ST0001,201440.0,647135.0,,,,
A01,ST0001,201435.0,833345.0,,,,
A01,ST0001,201425.0,618699.0,,,,
A01,ST0001,201428.0,587529.0,,,,
A01,ST0001,201423.0,610479.0,,,,
A01,ST0001,201426.0,586721.0,,,,
A01,ST0001,201431.0,671138.0,,,,
A01,ST0001,201421.0,620290.0,,,,
A01,ST0001,201429.0,620882.0,,,,
A01,ST0001,201424.0,589613.0,,,,
A01,ST0001,201427.0,599043.0,,,,
A01,ST0001,201422.0,603104.0,,,,
A01,ST0001,201430.0,643984.0,,,,
A01,ST0001,201452.0,1197170.0,,,,
A01,ST0001,201453.0,757241.0,,,,
A01,ST0001,201443.0,627906.0,,,,
A01,ST0001,201451.0,863189.0,,,,
A01,ST0001,201446.0,644949.0,,,,
A01,ST0001,201449.0,835398.0,,,,
A01,ST0001,201444.0,623132.0,,,,
A01,ST0001,201447.0,681873.0,,,,
A01,ST0001,201442.0,639179.0,,,,
A01,ST0001,201450.0,752613.0,,,,
A01,ST0001,201445.0,621592.0,,,,
A01,ST0001,201448.0,1103665.0,,,,
A01,ST0001,201520.0,645626.0,,,,
A01,ST0001,201515.0,810144.0,,,,
A01,ST0001,201518.0,671464.0,,,,
A01,ST0001,201513.0,470040.0,,,,
A01,ST0001,201511.0,524787.0,,,,
A01,ST0001,201516.0,764927.0,,,,
A01,ST0001,201519.0,682757.0,,,,
A01,ST0001,201514.0,428195.0,,,,
A01,ST0001,201512.0,486509.0,,,,
A01,ST0001,201517.0,697502.0,,,,
A01,ST0001,201507.0,620392.0,,,,
A01,ST0001,201510.0,511679.0,,,,
A01,ST0001,201502.0,438251.0,,,,
A01,ST0001,201505.0,482381.0,,,,
A01,ST0001,201508.0,571781.0,,,,
A01,ST0001,201503.0,420290.0,,,,
A01,ST0001,201506.0,570412.0,,,,
A01,ST0001,201509.0,569545.0,,,,
A01,ST0001,201501.0,513598.0,,,,
A01,ST0001,201504.0,458431.0,,,,
A01,ST0001,201538.0,693449.0,,,,
A01,ST0001,201533.0,679332.0,,,,
A01,ST0001,201541.0,624735.0,,,,
A01,ST0001,201536.0,826981.0,,,,
A01,ST0001,201539.0,636169.0,,,,
A01,ST0001,201534.0,846123.0,,,,
A01,ST0001,201532.0,677509.0,,,,
A01,ST0001,201537.0,717281.0,,,,
A01,ST0001,201540.0,647135.0,,,,
A01,ST0001,201535.0,833345.0,,,,
A01,ST0001,201525.0,618699.0,,,,
A01,ST0001,201528.0,587529.0,,,,
A01,ST0001,201523.0,610479.0,,,,
A01,ST0001,201526.0,586721.0,,,,
A01,ST0001,201531.0,671138.0,,,,
A01,ST0001,201521.0,620290.0,,,,
A01,ST0001,201529.0,620882.0,,,,
A01,ST0001,201524.0,589613.0,,,,
A01,ST0001,201527.0,599043.0,,,,
A01,ST0001,201522.0,603104.0,,,,
A01,ST0001,201530.0,643984.0,,,,
A01,ST0001,201605.0,661049.0,,,,
A01,ST0001,201603.0,531372.0,,,,
A01,ST0001,201601.0,651243.0,,,,
A01,ST0001,201608.0,671116.0,,,,
A01,ST0001,201606.0,881536.0,,,,
A01,ST0001,201552.0,1197170.0,,,,
A01,ST0001,201604.0,585025.0,,,,
A01,ST0001,201602.0,573198.0,,,,
A01,ST0001,201553.0,757241.0,,,,
A01,ST0001,201607.0,790430.0,,,,
A01,ST0001,201543.0,627906.0,,,,
A01,ST0001,201551.0,863189.0,,,,
A01,ST0001,201546.0,644949.0,,,,
A01,ST0001,201549.0,835398.0,,,,
A01,ST0001,201544.0,623132.0,,,,
A01,ST0001,201547.0,681873.0,,,,
A01,ST0001,201542.0,639179.0,,,,
A01,ST0001,201550.0,752613.0,,,,
A01,ST0001,201545.0,621592.0,,,,
A01,ST0001,201548.0,1103665.0,,,,
A01,ST0001,201623.0,768124.0,,,,
A01,ST0001,201621.0,721991.0,,,,
A01,ST0001,201626.0,871247.0,,,,
A01,ST0001,201619.0,693402.0,,,,
A01,ST0001,201624.0,772706.0,,,,
A01,ST0001,201622.0,817878.0,,,,
A01,ST0001,201620.0,695859.0,,,,
A01,ST0001,201618.0,712672.0,,,,
A01,ST0001,201625.0,786218.0,,,,
A01,ST0001,201612.0,794413.0,,,,
A01,ST0001,201610.0,1218194.0,,,,
A01,ST0001,201617.0,694920.0,,,,
A01,ST0001,201615.0,678467.0,,,,
A01,ST0001,201613.0,886427.0,,,,
A01,ST0001,201611.0,1011581.0,,,,
A01,ST0001,201609.0,635412.0,,,,
A01,ST0001,201616.0,658270.0,,,,
A01,ST0001,201614.0,739977.0,,,,
A01,ST0001,201641.0,746061.0,,,,
A01,ST0001,201420.0,645626.0,,,,
,,,,A01,ST0002,201415.0,128999.0
,,,,A01,ST0002,201418.0,134467.0
,,,,A01,ST0002,201413.0,140297.0
,,,,A01,ST0002,201411.0,145509.0
,,,,A01,ST0002,201416.0,140313.0
,,,,A01,ST0002,201419.0,128668.0
,,,,A01,ST0002,201414.0,137488.0
,,,,A01,ST0002,201417.0,127163.0
,,,,A01,ST0002,201407.0,146476.0
,,,,A01,ST0002,201410.0,153152.0
,,,,A01,ST0002,201402.0,123875.0
,,,,A01,ST0002,201405.0,180516.0
,,,,A01,ST0002,201408.0,156772.0
,,,,A01,ST0002,201403.0,114744.0
,,,,A01,ST0002,201406.0,139277.0
,,,,A01,ST0002,201409.0,141823.0
,,,,A01,ST0002,201401.0,155729.0
,,,,A01,ST0002,201404.0,137162.0
,,,,A01,ST0002,201435.0,149570.0
,,,,A01,ST0002,201438.0,132870.0
,,,,A01,ST0002,201433.0,150105.0
,,,,A01,ST0002,201441.0,127720.0
,,,,A01,ST0002,201436.0,210006.0
,,,,A01,ST0002,201439.0,129992.0
,,,,A01,ST0002,201434.0,168303.0
,,,,A01,ST0002,201432.0,134564.0
,,,,A01,ST0002,201437.0,195106.0
,,,,A01,ST0002,201440.0,139629.0
,,,,A01,ST0002,201425.0,128766.0
,,,,A01,ST0002,201428.0,142598.0
,,,,A01,ST0002,201423.0,125300.0
,,,,A01,ST0002,201426.0,135212.0
,,,,A01,ST0002,201431.0,140732.0
,,,,A01,ST0002,201421.0,132909.0
,,,,A01,ST0002,201429.0,154985.0
,,,,A01,ST0002,201424.0,139590.0
,,,,A01,ST0002,201427.0,184550.0
,,,,A01,ST0002,201422.0,143231.0
,,,,A01,ST0002,201430.0,133998.0
,,,,A01,ST0002,201452.0,422468.0
,,,,A01,ST0002,201453.0,232523.0
,,,,A01,ST0002,201443.0,124142.0
,,,,A01,ST0002,201451.0,356271.0
,,,,A01,ST0002,201446.0,184242.0
,,,,A01,ST0002,201449.0,669711.0
,,,,A01,ST0002,201444.0,133493.0
,,,,A01,ST0002,201447.0,378339.0
,,,,A01,ST0002,201442.0,136559.0
,,,,A01,ST0002,201450.0,294579.0
,,,,A01,ST0002,201445.0,155032.0
,,,,A01,ST0002,201448.0,1400339.0
,,,,A01,ST0002,201512.0,151750.0
,,,,A01,ST0002,201520.0,125863.0
,,,,A01,ST0002,201515.0,128999.0
,,,,A01,ST0002,201518.0,134467.0
,,,,A01,ST0002,201513.0,140297.0
,,,,A01,ST0002,201511.0,145509.0
,,,,A01,ST0002,201516.0,140313.0
,,,,A01,ST0002,201519.0,128668.0
,,,,A01,ST0002,201514.0,137488.0
,,,,A01,ST0002,201517.0,127163.0
,,,,A01,ST0002,201507.0,146476.0
,,,,A01,ST0002,201510.0,153152.0
,,,,A01,ST0002,201502.0,123875.0
,,,,A01,ST0002,201505.0,180516.0
,,,,A01,ST0002,201508.0,156772.0
,,,,A01,ST0002,201503.0,114744.0
,,,,A01,ST0002,201506.0,139277.0
,,,,A01,ST0002,201509.0,141823.0
,,,,A01,ST0002,201501.0,155729.0
,,,,A01,ST0002,201504.0,137162.0
,,,,A01,ST0002,201535.0,149570.0
,,,,A01,ST0002,201538.0,132870.0
,,,,A01,ST0002,201533.0,150105.0
,,,,A01,ST0002,201541.0,127720.0
,,,,A01,ST0002,201536.0,210006.0
,,,,A01,ST0002,201539.0,129992.0
,,,,A01,ST0002,201534.0,168303.0
,,,,A01,ST0002,201532.0,134564.0
,,,,A01,ST0002,201537.0,195106.0
,,,,A01,ST0002,201540.0,139629.0
,,,,A01,ST0002,201525.0,128766.0
,,,,A01,ST0002,201528.0,142598.0
