상품명,평점,평가수
샤오미 미 밴드4,93,1274
삼성전자 갤럭시 워치 액티브2 40mm 알루미늄 케이스,97,473
삼성전자 갤럭시 워치 액티브2 44mm 스테인리스 스틸 케이스,97,330
샤오미 화미 어메이즈핏 GTR 47mm,94,116
삼성전자 갤럭시 워치 액티브,96,856
샤오미 화미 어메이즈핏 GTS,96,242
삼성전자 갤럭시 워치 액티브2 44mm 알루미늄 케이스,96,234
삼성전자 갤럭시 핏,94,540
APPLE 워치 시리즈5 44mm 스페이스 그레이 알루미늄 케이스,98,129
샤오미 헬로우 스마트워치,55,106
삼성전자 갤럭시 핏e,89,609
삼성전자 갤럭시 워치 액티브2 40mm 스테인리스 스틸 케이스,94,120
삼성전자 갤럭시 워치 액티브2 44mm 골프 에디션,99,129
화웨이 워치 GT 2 46mm 클래식,94,84
삼성전자 갤럭시 워치 46mm,95,1033
APPLE 워치 시리즈5 44mm 실버 알루미늄 케이스,98,55
화웨이 밴드 4,85,71
APPLE 워치 시리즈5 40mm 스페이스 그레이 알루미늄 케이스,95,250
APPLE 워치 시리즈5 40mm 실버 알루미늄 케이스,95,214
샤오미 화미 어메이즈핏 빕 라이트,90,172
프라임원 엑스핏 GTS,76,25
APPLE 워치 시리즈5 나이키+ 44mm 스페이스 그레이 알루미늄 케이스,92,14
핏빗 Charge 4,96,5
APPLE 워치 시리즈5 44mm Cellular 스페이스 그레이 알루미늄 케이스,100,25
삼성전자 갤럭시 워치 액티브2 40mm 골프 에디션,95,30
샤오미 미 밴드3,94,5555
샤오미 화미 어메이즈핏 T-Rex,87,3
APPLE 워치 시리즈5 40mm 골드 알루미늄 케이스,95,212
샤오미 화미 어메이즈핏 GTR 42mm,98,16
APPLE 워치 시리즈5 40mm Cellular 골드 알루미늄 케이스,,
APPLE 워치 시리즈3 38mm 알루미늄 케이스,100,15
삼성전자 갤럭시 워치 액티브2 44mm 언더아머 에디션,94,1481
샤오미 화미 어메이즈핏 빕,98,23
삼성전자 갤럭시 워치 46mm LTE,96,229
삼성전자 갤럭시 워치 골프 에디션 46mm,90,18
화웨이 워치 GT 2 46mm 엘리트,100,12
APPLE 워치 시리즈5 나이키+ 40mm 스페이스 그레이 알루미늄 케이스,100,2
핏빗 Charge 4 SE,80,5
샤오미 미 밴드4 NFC,97,335
삼성전자 갤럭시 워치 42mm,100,1
레노버 워치 S,90,5
Razer NABU Live,100,19
APPLE 워치 시리즈5 44mm Cellular 스테인리스 스틸 케이스,91,41
샤오미 화미 어메이즈핏 버지 라이트,100,11
샤오미 미 워치 스탠다드,100,2
APPLE 워치 시리즈5 나이키+ 44mm 실버 알루미늄 케이스,100,2
핏빗 Versa 2,100,38
APPLE 워치 시리즈5 나이키+ 44mm Cellular 스페이스 그레이 알루미늄 케이스,77,72
APPLE 워치 시리즈5 44mm Cellular 스페이스 블랙 스테인리스 스틸 케이스,94,89
APPLE 워치 시리즈5 에디션 44mm Cellular 스페이스 블랙 티타늄 케이스,76,306
APPLE 워치 시리즈5 에르메스 40mm Cellular 스테인리스 스틸 케이스,99,20
APPLE 워치 시리즈3 42mm 알루미늄 케이스,83,161
레노버 워치 9,94,512
샤오미 화미 어메이즈핏 버지,,
SM코퍼레이션 DZ09S,,
APPLE 워치 시리즈5 44mm 골드 알루미늄 케이스,,
코아 POWER G1,,
APPLE 워치 시리즈5 44mm Cellular 골드 스테인리스 스틸 케이스,,
삼성전자 기어S3 프론티어,,
APPLE 워치 시리즈5 40mm Cellular 골드 스테인리스 스틸 케이스,,
핏빗 Inspire HR,97,170
퓨전FNC VPULSE Fit-Coach Go+,77,44
삼성전자 기어S3 클래식,96,499
APPLE 워치 시리즈4 40mm 알루미늄 케이스,100,3
KW88 Pro 3G,100,1
APPLE 워치 시리즈5 40mm Cellular 스테인리스 스틸 케이스,77,2
NEWNTO K2,94,45
"네이버랩스 아키, KT",97,10
핏빗 Versa Lite,40,13
삼성전자 기어 핏2 프로 Large,98,1
APPLE 워치 시리즈5 나이키+ 40mm 실버 알루미늄 케이스,99,57
삼성전자 갤럭시 워치 42mm LTE,40,16
삼성전자 기어 핏2 프로 Small,96,1
LG전자 워치 W7,100,15
핏빗 Inspire,94,1
샤오미 미 밴드4 어벤져스 에디션,80,10942
APPLE 워치 시리즈5 44mm Cellular 실버 알루미늄 케이스,93,1
샤오미 미 밴드2,82,341
lemfo LEM X LTE,89,28
핏빗 Charge HR,89,785
파트론 URBAN S Plus,100,82
코아 CKC V2,91,5
화웨이 밴드 3 프로,100,2232
파트론 URBAN Pro,93,1
APPLE 워치 시리즈5 에르메스 44mm Cellular 스페이스 블랙 스테인리스 스틸 케이스,,6
화웨이 워치 GT 2 42mm 클래식,,
샤오미 미 밴드 1A,,
샤오미 어메이즈핏 Cor2,,
APPLE 워치 시리즈5 40mm Cellular 스페이스 블랙 스테인리스 스틸 케이스,,
APPLE 워치 시리즈4 40mm Cellular 스테인리스 스틸 케이스,,
Nintendo 포켓몬 GO 플러스,89,332
APPLE 워치 시리즈5 40mm Cellular 실버 알루미늄 케이스,100,1
샤오미 어메이즈핏 페이스,100,6
화웨이 워치 GT 2 46mm 스포츠,93,3
lemfo LEM4 Pro 3G,98,31
핏빗 Ionic,95,56
화웨이 워치 GT 스포츠,81,30
EX16,96,32
샤오미 화미 어메이즈핏 스트라토스,100,2
M30,100,7
핏빗 Ace 2,100,19
APPLE 워치 시리즈3 42mm Cellular 알루미늄 케이스,90,31
화웨이 워치 GT 클래식,77,13
삼성전자 기어S3 프론티어 LTE,87,6
sincom 메탈가죽 스마트밴드,91,15
APPLE 워치 시리즈5 에디션 44mm Cellular 티타늄 케이스,94,23
파트론 URBAN Cash,95,12
파트론 크로이스.R URBAN-S,92,17
APPLE 워치 시리즈3 나이키+ 38mm Cellular 알루미늄 케이스,100,1
Garmin 비보스포츠,80,1
APPLE 워치 시리즈3 38mm Cellular 알루미늄 케이스,87,7
APPLE 워치 시리즈5 에디션 44mm Cellular 화이트 세라믹 케이스,95,122
lemfo LEM9 LTE,91,1012
아이디어뱅크 A3,100,1
핏빗 Charge 3,94,326
코아 I5 Plus 스마트밴드,93,4
아이쉐어링 A1 스마트워치 워치폰,94,407
삼성전자 기어 스포츠,,
Y7,,
APPLE 워치 시리즈3 나이키+ 38mm 알루미늄 케이스,,
lemfo LF16,,
APPLE 워치 시리즈5 에디션 40mm Cellular 티타늄 케이스,,
APPLE 워치 시리즈5 에디션 40mm Cellular 화이트 세라믹 케이스,,
"삼성전자 갤럭시 워치 42mm LTE, SKT",,
zeblaze Thor Pro,,
zeblaze Vibe 3,,
lemfo LES1,,
M1 GPS,,
삼성전자 기어 핏,,
